"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"XGBoost","Repeat_18_Fold_03",18,"Fold_03",3,0.0566161831340529,0.172884844814245,0.112993946671486,0.335620582103729,0.933615760207176,0.402385872762543
"XGBoost","Repeat_18_Fold_04",18,"Fold_04",4,0.0873014081280174,0.161308915032225,0.308304587006569,0.457682979106902,0.799448311328888,0.409919238192467
"XGBoost","Repeat_18_Fold_05",18,"Fold_05",5,0.076535157020553,0.185314697478478,0.167801934480667,0.546664237976074,0.948039752840996,0.447164551977508
"XGBoost","Repeat_19_Fold_01",19,"Fold_01",1,0.0615958146004656,0.167540735321164,0.13420877456665,0.390293163061141,0.899209320545197,0.396677285242793
"XGBoost","Repeat_19_Fold_02",19,"Fold_02",2,0.0716959123437603,0.168174384168266,0.225321382284164,0.462716370820999,0.887168824672699,0.408044680680293
"XGBoost","Repeat_19_Fold_03",19,"Fold_03",3,0.0635952338528781,0.148392858483961,0.135587187111378,0.385950924456116,0.812274143099785,0.360380950820799
"XGBoost","Repeat_19_Fold_04",19,"Fold_04",4,0.0471280403596757,0.142852983003617,0.0835266411304474,0.275415509939194,0.890831470489502,0.33283400636691
"XGBoost","Repeat_19_Fold_05",19,"Fold_05",5,0.0633421674950902,0.154033538515881,0.165411016345025,0.449399083852768,0.814483525156975,0.371409244526852
"XGBoost","Repeat_20_Fold_01",20,"Fold_01",1,0.068693240300563,0.188650628278585,0.187477052211761,0.543850600719452,0.922601580619812,0.445994496857732
"XGBoost","Repeat_20_Fold_02",20,"Fold_02",2,0.0467007399437716,0.150160414016178,0.0645526349544525,0.233059868216515,0.913020391464234,0.347021567976128
"XGBoost","Repeat_20_Fold_03",20,"Fold_03",3,0.0492865972484772,0.131915468128884,0.124087055027485,0.246325079351662,0.793539523482324,0.313117533506245
"XGBoost","Repeat_20_Fold_04",20,"Fold_04",4,0.0547229880760157,0.196135588808483,0.0577375553548336,0.4076012134552,0.977696925997734,0.446994165692982
"XGBoost","Repeat_20_Fold_05",20,"Fold_05",5,0.0639061283867341,0.160405295308522,0.121318466961384,0.368482322990894,0.93635350227356,0.384716719003778
"XGBoost","Repeat_21_Fold_01",21,"Fold_01",1,0.0662494989019857,0.151386062570833,0.143249921500683,0.372553944587708,0.86373507976532,0.369021624043652
"XGBoost","Repeat_21_Fold_02",21,"Fold_02",2,0.0840741152103874,0.17524629955489,0.266800314188004,0.533511638641357,0.835453510284424,0.434566714320168
"XGBoost","Repeat_21_Fold_03",21,"Fold_03",3,0.0755958661767363,0.171745127951155,0.152411808073521,0.425893950462341,0.961082727909088,0.419086122079046
"XGBoost","Repeat_21_Fold_04",21,"Fold_04",4,0.0772043235938084,0.184649962182578,0.200320406258106,0.602764010429382,0.872493863105774,0.446504247958963
"XGBoost","Repeat_21_Fold_05",21,"Fold_05",5,0.0741554280786659,0.194200503807102,0.145397409796715,0.588632225990295,0.950706124305725,0.462556435692869
"XGBoost","Repeat_22_Fold_01",22,"Fold_01",1,0.0680170812745928,0.159575940468644,0.270031431317331,0.480473071336746,0.747430968880654,0.38716896221188
"XGBoost","Repeat_22_Fold_02",22,"Fold_02",2,0.0923620941674259,0.167758778836959,0.356063935160637,0.519267916679382,0.761679376363755,0.427879651841344
"XGBoost","Repeat_22_Fold_03",22,"Fold_03",3,0.0455913541352978,0.138890844132292,0.085033193230629,0.240399721264838,0.847484707832336,0.323373042399882
"XGBoost","Repeat_22_Fold_04",22,"Fold_04",4,0.0756676183035597,0.152243060543069,0.227094033360482,0.398819154500961,0.826932753324509,0.380153739389698
"XGBoost","Repeat_22_Fold_05",22,"Fold_05",5,0.067201366701435,0.158383347217559,0.214158940315247,0.456397345662116,0.811870104074478,0.383968061136553
"XGBoost","Repeat_23_Fold_01",23,"Fold_01",1,0.0882669058009803,0.249987419306121,0.247956931591034,0.911915290355682,0.995257556438446,0.588241744413223
"XGBoost","Repeat_23_Fold_02",23,"Fold_02",2,0.0879226428442053,0.219537568591737,0.300014352798462,0.722197160124778,0.941274583339691,0.526997780027679
"XGBoost","Repeat_23_Fold_03",23,"Fold_03",3,0.0647258993332434,0.193686048122468,0.106799791008234,0.437227538228026,0.985395812988281,0.452097995578179
"XGBoost","Repeat_23_Fold_04",23,"Fold_04",4,0.0889589750968541,0.245274395370604,0.136247679591179,0.888275319337845,0.990897595882416,0.579507765838062
"XGBoost","Repeat_23_Fold_05",23,"Fold_05",5,0.0595299611257603,0.175690599839052,0.11083909869194,0.431288200616834,0.974080980420113,0.410911160803863
"XGBoost","Repeat_24_Fold_01",24,"Fold_01",1,0.0585736636393995,0.146191609407356,0.133596912026405,0.343339562416077,0.808860719203949,0.350956882454111
"XGBoost","Repeat_24_Fold_02",24,"Fold_02",2,0.0689078230445739,0.159373527275167,0.123510626703501,0.389455039799213,0.890806376934052,0.387654877594907
"XGBoost","Repeat_24_Fold_03",24,"Fold_03",3,0.0613538122082051,0.109184884947098,0.11600331068039,0.283995360136032,0.612235974073411,0.279723582102401
"XGBoost","Repeat_24_Fold_04",24,"Fold_04",4,0.0546264048710388,0.139453677583139,0.139322564005852,0.335015092790126,0.889963746070862,0.333533760037317
"XGBoost","Repeat_24_Fold_05",24,"Fold_05",5,0.0447194759784422,0.13313581751671,0.0602551959455013,0.233515918254852,0.822587847709656,0.310991111011863
"XGBoost","Repeat_25_Fold_01",25,"Fold_01",1,0.0304163714371468,0.113714653476486,0.0413303051143885,0.131644114851952,0.742394241690636,0.257845678390119
"XGBoost","Repeat_25_Fold_02",25,"Fold_02",2,0.0861649086661055,0.184442958630006,0.218268573284149,0.595606458187102,0.897703558802605,0.455050825926117
"XGBoost","Repeat_25_Fold_03",25,"Fold_03",3,0.0666939627328247,0.172989264703877,0.088481441140175,0.603973627090454,0.853767335414886,0.41267249214058
"XGBoost","Repeat_25_Fold_04",25,"Fold_04",4,0.0653422857261709,0.159386162630032,0.173303186893463,0.457983815670012,0.815790356993677,0.384114610986236
"XGBoost","Repeat_25_Fold_05",25,"Fold_05",5,0.0791640126107571,0.174170897496059,0.209883570671082,0.466751477122305,0.874653458595276,0.427505807602876
