"CellID","X","Y","XGB_Mean_Probability","XGB_SD_Probability","XGB_Min_Probability","XGB_Max_Probability","XGB_Prediction_n"
65,532613.5791,4419989.11,0.00910872173612006,0.00653078994110198,0.000782602292019874,0.0328897349536419,150
66,532638.5791,4419989.11,0.00910063725857375,0.00652435708012483,0.000782602292019874,0.0328897349536419,150
67,532663.5791,4419989.11,0.00910063725857375,0.00652435708012483,0.000782602292019874,0.0328897349536419,150
68,532688.5791,4419989.11,0.00910063725857375,0.00652435708012483,0.000782602292019874,0.0328897349536419,150
69,532713.5791,4419989.11,0.0103082436544355,0.00778486148076377,0.000483608164358884,0.0401106402277946,150
70,532738.5791,4419989.11,0.0103082436544355,0.00778486148076377,0.000483608164358884,0.0401106402277946,150
71,532763.5791,4419989.11,0.0134217030147556,0.0114611043039654,0.000483608164358884,0.0957182049751282,150
72,532788.5791,4419989.11,0.0135594598518219,0.011531016725223,0.000566724163945764,0.0957182049751282,150
73,532813.5791,4419989.11,0.0135594598518219,0.011531016725223,0.000566724163945764,0.0957182049751282,150
74,532838.5791,4419989.11,0.0100678392860573,0.00759873337951099,0.000483608164358884,0.036102257668972,150
75,532863.5791,4419989.11,0.0100678392860573,0.00759873337951099,0.000483608164358884,0.036102257668972,150
76,532888.5791,4419989.11,0.0107770177865556,0.00795288745103721,0.000483608164358884,0.0369571410119534,150
77,532913.5791,4419989.11,0.0104034330249609,0.00783630315061623,0.000483608164358884,0.036102257668972,150
78,532938.5791,4419989.11,0.0102624322268336,0.00774679706549431,0.000483608164358884,0.036102257668972,150
79,532963.5791,4419989.11,0.0102624322268336,0.00774679706549431,0.000483608164358884,0.036102257668972,150
80,532988.5791,4419989.11,0.0102450433866276,0.00766859335587404,0.000483608164358884,0.036102257668972,150
81,531013.5791,4419964.11,0.0123906278788733,0.00917037656709767,0.00141982082277536,0.0619157180190086,150
82,531038.5791,4419964.11,0.0123389362877545,0.00909710089830929,0.00141982082277536,0.0602817162871361,150
83,531063.5791,4419964.11,0.0123398225281077,0.00909974904636732,0.00141982082277536,0.0602817162871361,150
84,531088.5791,4419964.11,0.0123217791124868,0.00909384112377883,0.00141982082277536,0.0602817162871361,150
85,531113.5791,4419964.11,0.0125188690874105,0.00950619141598226,0.00141982082277536,0.0693653747439384,150
86,531138.5791,4419964.11,0.0124965478774781,0.00946104277550352,0.00141982082277536,0.0693653747439384,150
87,531163.5791,4419964.11,0.0124983773923789,0.00945927449147471,0.00141982082277536,0.0693653747439384,150
88,531188.5791,4419964.11,0.0125002485467121,0.00945760301942155,0.00141982082277536,0.0693653747439384,150
89,531213.5791,4419964.11,0.0125002485467121,0.00945760301942155,0.00141982082277536,0.0693653747439384,150
90,531238.5791,4419964.11,0.0125195114314556,0.00947110321414806,0.00141982082277536,0.0693653747439384,150
91,531263.5791,4419964.11,0.0125397493379811,0.00946702663801702,0.00141982082277536,0.0693653747439384,150
92,531288.5791,4419964.11,0.012551396569858,0.0094688046003203,0.00141982082277536,0.0693653747439384,150
93,531313.5791,4419964.11,0.0125233365176246,0.00930813980573857,0.00141982082277536,0.0654482170939445,150
94,531338.5791,4419964.11,0.0125637916615233,0.00931810598195507,0.00141982082277536,0.0654482170939445,150
95,531363.5791,4419964.11,0.0126930905195574,0.00935384993903722,0.00141982082277536,0.0654482170939445,150
96,531388.5791,4419964.11,0.0121996329546285,0.00934876521733594,0.00118670950178057,0.0654482170939445,150
97,531413.5791,4419964.11,0.0139620617761587,0.00994364477080128,0.00118670950178057,0.065870501101017,150
98,531438.5791,4419964.11,0.0125367516449963,0.00962054295169032,0.00118670950178057,0.0685655027627945,150
99,531463.5791,4419964.11,0.0140208269888535,0.00998594884438612,0.00118670950178057,0.065870501101017,150
100,531488.5791,4419964.11,0.014065499426797,0.0100011641876586,0.00118670950178057,0.065870501101017,150
