"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
103,531563.5791,4419964.11,0.0410682503126205,0.0251361408067499,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
104,531588.5791,4419964.11,0.0205661731194987,0.01029948069688,0,0.0494316315191352,150,"RF","P90",0.0831089141044258,0,"Below_P90"
105,531613.5791,4419964.11,0.020618288270555,0.0102764278535112,0,0.0497649648524685,150,"RF","P90",0.0831089141044258,0,"Below_P90"
106,531638.5791,4419964.11,0.0214053833396109,0.0105535017600946,0,0.0512649648524686,150,"RF","P90",0.0831089141044258,0,"Below_P90"
107,531663.5791,4419964.11,0.0311788070750356,0.0130678343736144,0,0.0665569876444914,150,"RF","P90",0.0831089141044258,0,"Below_P90"
108,531688.5791,4419964.11,0.0196255837291568,0.010120162752638,0,0.0527850917943689,150,"RF","P90",0.0831089141044258,0,"Below_P90"
109,531713.5791,4419964.11,0.01779896837706,0.00923758364018697,0,0.0444287086861756,150,"RF","P90",0.0831089141044258,0,"Below_P90"
110,531738.5791,4419964.11,0.0180322780554806,0.00946063157981964,0,0.0444287086861756,150,"RF","P90",0.0831089141044258,0,"Below_P90"
111,531763.5791,4419964.11,0.0223067635509863,0.0120407191723992,0,0.0613518970919728,150,"RF","P90",0.0831089141044258,0,"Below_P90"
112,531788.5791,4419964.11,0.0179793540854249,0.00921070870928097,0,0.0421695145497508,150,"RF","P90",0.0831089141044258,0,"Below_P90"
113,531813.5791,4419964.11,0.0198294827756053,0.0106068988243621,0,0.0478631818617137,150,"RF","P90",0.0831089141044258,0,"Below_P90"
114,531838.5791,4419964.11,0.014392218269842,0.00822371182125295,0,0.0448713222706957,150,"RF","P90",0.0831089141044258,0,"Below_P90"
115,531863.5791,4419964.11,0.0239620332410022,0.0182904008835463,0,0.0915855320806265,150,"RF","P90",0.0831089141044258,0,"Below_P90"
116,531888.5791,4419964.11,0.0228049888395917,0.0182118776863577,0,0.0904491684442628,150,"RF","P90",0.0831089141044258,0,"Below_P90"
117,531913.5791,4419964.11,0.0226105630421409,0.0181956922857853,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
118,531938.5791,4419964.11,0.0224104302721331,0.018251284536931,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
119,531963.5791,4419964.11,0.0222316302721331,0.0182647200971535,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
120,531988.5791,4419964.11,0.0222076302721331,0.0182855445709105,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
121,532013.5791,4419964.11,0.0221076302721331,0.0179767351142496,0,0.0903777398728343,150,"RF","P90",0.0831089141044258,0,"Below_P90"
122,532038.5791,4419964.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
123,532063.5791,4419964.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
124,532088.5791,4419964.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
125,532113.5791,4419964.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
126,532138.5791,4419964.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
127,532163.5791,4419964.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
128,532188.5791,4419964.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
129,532213.5791,4419964.11,0.00815930249387038,0.00406933884824753,0,0.0157870049584032,150,"RF","P90",0.0831089141044258,0,"Below_P90"
130,532238.5791,4419964.11,0.00815930249387038,0.00406933884824753,0,0.0157870049584032,150,"RF","P90",0.0831089141044258,0,"Below_P90"
131,532263.5791,4419964.11,0.0167538181341852,0.0105023444113123,0,0.0477811850598319,150,"RF","P90",0.0831089141044258,0,"Below_P90"
132,532288.5791,4419964.11,0.0167538181341852,0.0105023444113123,0,0.0477811850598319,150,"RF","P90",0.0831089141044258,0,"Below_P90"
133,532313.5791,4419964.11,0.0167538181341852,0.0105023444113123,0,0.0477811850598319,150,"RF","P90",0.0831089141044258,0,"Below_P90"
134,532338.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
135,532363.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
136,532388.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
137,532413.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
138,532438.5791,4419964.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
