"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","scale_pos_weight","Best_Iteration","Inner_CV_Logloss"
"XGBoost","Repeat_02_Fold_04",2,"Fold_04",5,0.03,2,3,0.8,0.8,0,25,150,0.213901422344721
"XGBoost","Repeat_02_Fold_04",2,"Fold_04",6,0.1,2,3,0.8,0.8,0,25,181,0.129808484397542
"XGBoost","Repeat_02_Fold_04",2,"Fold_04",7,0.03,4,3,0.8,0.8,0,25,130,0.169716874101701
"XGBoost","Repeat_02_Fold_04",2,"Fold_04",8,0.1,4,3,0.8,0.8,0,25,79,0.24502513367826
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",1,0.03,2,1,0.8,0.8,0,25,120,0.193003011133092
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",2,0.1,2,1,0.8,0.8,0,25,69,0.143059137797816
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",3,0.03,4,1,0.8,0.8,0,25,191,0.23395649710885
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",4,0.1,4,1,0.8,0.8,0,25,73,0.194038550870923
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",5,0.03,2,3,0.8,0.8,0,25,186,0.199445443424898
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",6,0.1,2,3,0.8,0.8,0,25,118,0.257623799181042
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",7,0.03,4,3,0.8,0.8,0,25,118,0.143302283482626
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",8,0.1,4,3,0.8,0.8,0,25,31,0.281129038462845
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",1,0.03,2,1,0.8,0.8,0,25,87,0.264501064371031
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",2,0.1,2,1,0.8,0.8,0,25,182,0.188964837865429
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",3,0.03,4,1,0.8,0.8,0,25,95,0.29641764331609
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",4,0.1,4,1,0.8,0.8,0,25,108,0.127894701960031
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",5,0.03,2,3,0.8,0.8,0,25,120,0.26100959850905
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",6,0.1,2,3,0.8,0.8,0,25,38,0.223634750474817
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",7,0.03,4,3,0.8,0.8,0,25,166,0.223218323841978
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",8,0.1,4,3,0.8,0.8,0,25,119,0.163378200077344
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",1,0.03,2,1,0.8,0.8,0,25,143,0.226766219595447
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",2,0.1,2,1,0.8,0.8,0,25,140,0.258083461760319
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",3,0.03,4,1,0.8,0.8,0,25,88,0.291347022562359
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",4,0.1,4,1,0.8,0.8,0,25,51,0.18944307799057
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",5,0.03,2,3,0.8,0.8,0,25,129,0.216039767506747
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",6,0.1,2,3,0.8,0.8,0,25,40,0.226791846279341
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",7,0.03,4,3,0.8,0.8,0,25,131,0.202026481202875
"XGBoost","Repeat_03_Fold_02",3,"Fold_02",8,0.1,4,3,0.8,0.8,0,25,37,0.214176514920277
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",1,0.03,2,1,0.8,0.8,0,25,141,0.205231724602457
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",2,0.1,2,1,0.8,0.8,0,25,96,0.199877323477547
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",3,0.03,4,1,0.8,0.8,0,25,99,0.288747358709001
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",4,0.1,4,1,0.8,0.8,0,25,33,0.228824759009652
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",5,0.03,2,3,0.8,0.8,0,25,116,0.223837768766456
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",6,0.1,2,3,0.8,0.8,0,25,33,0.228466047833745
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",7,0.03,4,3,0.8,0.8,0,25,175,0.200697991567162
"XGBoost","Repeat_03_Fold_03",3,"Fold_03",8,0.1,4,3,0.8,0.8,0,25,32,0.291413169730311
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",1,0.03,2,1,0.8,0.8,0,25,212,0.175515333519658
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",2,0.1,2,1,0.8,0.8,0,25,81,0.17855248531067
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",3,0.03,4,1,0.8,0.8,0,25,104,0.298098791838409
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",4,0.1,4,1,0.8,0.8,0,25,44,0.208367258292408
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",5,0.03,2,3,0.8,0.8,0,25,244,0.217873294416887
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",6,0.1,2,3,0.8,0.8,0,25,52,0.230739638836195
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",7,0.03,4,3,0.8,0.8,0,25,203,0.234362827031873
"XGBoost","Repeat_03_Fold_04",3,"Fold_04",8,0.1,4,3,0.8,0.8,0,25,95,0.29631706726594
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",1,0.03,2,1,0.8,0.8,0,25,93,0.260924819391221
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",2,0.1,2,1,0.8,0.8,0,25,35,0.236857436776448
"XGBoost","Repeat_03_Fold_05",3,"Fold_05",3,0.03,4,1,0.8,0.8,0,25,73,0.324982233596249
