"CellID","X","Y","SVM_Mean_Probability","SVM_SD_Probability","SVM_Min_Probability","SVM_Max_Probability","SVM_Prediction_n"
114,531838.5791,4419964.11,0.0229489797026015,0.0182581486748926,0.000682786633684808,0.098862667076141,150
115,531863.5791,4419964.11,0.02324287911451,0.0187541137711854,0.000678605461938282,0.0964727979129714,150
116,531888.5791,4419964.11,0.0231934392383023,0.0188325091007968,0.000681894692565004,0.09672357740059,150
117,531913.5791,4419964.11,0.0231542962228338,0.0189261276376278,0.000684387623609978,0.0970088391873367,150
118,531938.5791,4419964.11,0.0231254254534531,0.0190346939524832,0.000686076061871259,0.0973281221040471,150
119,531963.5791,4419964.11,0.0231067961443633,0.0191579917661362,0.000686957112360671,0.0976809424260034,150
120,531988.5791,4419964.11,0.0230983675075681,0.0192958433933019,0.000687034728929313,0.0980667123151539,150
121,532013.5791,4419964.11,0.0231000924988012,0.0194481198838701,0.000686318619572322,0.0984847927181151,150
122,532038.5791,4419964.11,0.02254706588525,0.0189171832860661,0.000681543855118254,0.0992856413452077,150
123,532063.5791,4419964.11,0.0225638831473574,0.0190950465323436,0.000679534583277364,0.0997588279963632,150
124,532088.5791,4419964.11,0.0225898902101071,0.0192864704139938,0.00067677957908921,0.100261928682581,150
125,532113.5791,4419964.11,0.0226250776847567,0.0194914913097601,0.000673308180638209,0.100793967634398,150
126,532138.5791,4419964.11,0.0226694304851746,0.0197101619979921,0.000669153368940997,0.101353913309363,150
127,532163.5791,4419964.11,0.0227229200347592,0.0199425380746102,0.000664351694141106,0.101940666003907,150
128,532188.5791,4419964.11,0.0227854995228144,0.0201886645225841,0.000658943044044137,0.102553020384716,150
129,532213.5791,4419964.11,0.0225594110044379,0.0199011433026519,0.000668816727665337,0.101798484066149,150
130,532238.5791,4419964.11,0.0226304946588426,0.0201707292064596,0.000662403063077632,0.102443736627373,150
131,532263.5791,4419964.11,0.0231790571895008,0.0212738573688905,0.000626348498771965,0.10408708735371,150
132,532288.5791,4419964.11,0.0232761953363779,0.0215716732312256,0.000619751427923202,0.104767917492769,150
133,532313.5791,4419964.11,0.0233814807489714,0.0218825686531313,0.00061276769926163,0.105466826346692,150
134,532338.5791,4419964.11,0.0222983672176544,0.0202361175159602,0.000658780913926264,0.106366756015386,150
135,532363.5791,4419964.11,0.0223925065512366,0.0205724377208055,0.000648953889097413,0.107121141528053,150
136,532388.5791,4419964.11,0.0224991360618561,0.0209245646973036,0.000638867337838553,0.10788954092905,150
137,532413.5791,4419964.11,0.0226182969483969,0.0212918607339631,0.000628573791057527,0.108670162342015,150
138,532438.5791,4419964.11,0.0227498776867512,0.0216735166645097,0.000618124477517174,0.10946111927454,150
139,532463.5791,4419964.11,0.0228936297384979,0.0220686147583026,0.000607568041765993,0.110260502039639,150
140,532488.5791,4419964.11,0.0227586592682172,0.022163869810198,0.000607214204562122,0.108546558187779,150
141,532513.5791,4419964.11,0.02281305589921,0.0223823631150144,0.000613114652612148,0.108928362937794,150
142,532538.5791,4419964.11,0.0228579088330175,0.0225338048387651,0.00062130593257771,0.108904092769748,150
143,532563.5791,4419964.11,0.0229169853670005,0.0227009280426733,0.000628981465642122,0.108901999458256,150
144,532588.5791,4419964.11,0.0229898846158279,0.0228835395483609,0.000624095563368181,0.108921711966409,150
145,532613.5791,4419964.11,0.0230761143432896,0.0230814703945496,0.000612738251646246,0.108962768246982,150
146,532638.5791,4419964.11,0.0230961916938863,0.0231243751946164,0.000598386596954188,0.106694467337027,150
147,532663.5791,4419964.11,0.0232007714540909,0.0233492860229446,0.000587381411461339,0.106773795293354,150
148,532688.5791,4419964.11,0.0233171038520002,0.0235891467551324,0.000576547932581252,0.10687240783682,150
149,532713.5791,4419964.11,0.0233791276340561,0.0230374618138271,0.000608004169926287,0.0951929176926887,150
150,532738.5791,4419964.11,0.0235149519031488,0.0233245103772448,0.000594861689716553,0.0986016546181253,150
151,532763.5791,4419964.11,0.0237420281856998,0.023728366985378,0.000572919823077128,0.101239089293992,150
152,532788.5791,4419964.11,0.0238389710087315,0.0240232784135249,0.000562136643452543,0.104138748871156,150
153,532813.5791,4419964.11,0.0235827372240309,0.0239394916973411,0.000581756123776682,0.103166169109003,150
154,532838.5791,4419964.11,0.0237159086514636,0.0242717812744981,0.000570600568919977,0.106313147507098,150
155,532863.5791,4419964.11,0.0238502028845524,0.0246371848664927,0.000554954633913628,0.109627575422259,150
156,532888.5791,4419964.11,0.0242248814911689,0.0250645859161509,0.000581870854268585,0.115578543940459,150
157,532913.5791,4419964.11,0.0243842853681027,0.0254479781412887,0.00057096058779163,0.118975090201939,150
158,532938.5791,4419964.11,0.0244454272106147,0.0258283300786299,0.000538756616325962,0.121991746855233,150
159,532963.5791,4419964.11,0.0246302441398679,0.0262311465308677,0.000529159371115908,0.125475048091313,150
160,532988.5791,4419964.11,0.0249339818271788,0.0267701500355745,0.00051872307491671,0.130445279259712,150
161,531013.5791,4419939.11,0.0242131456922334,0.0216361765395429,0.000462704585686953,0.115722614517434,150
162,531038.5791,4419939.11,0.0241067342590984,0.0213227649022474,0.000473209376075728,0.114806830860421,150
163,531063.5791,4419939.11,0.023997755159253,0.0210149713222109,0.000484460095827283,0.113917036662245,150
164,531088.5791,4419939.11,0.02388500980013,0.0207130919216728,0.000496565535319736,0.113055085967081,150
165,531113.5791,4419939.11,0.0239020741844044,0.0209436548513643,0.000482748419741857,0.113026296199534,150
166,531138.5791,4419939.11,0.023828196895726,0.0206806625955967,0.000492256162905627,0.112190519795866,150
167,531163.5791,4419939.11,0.0237503332587743,0.0204229821894702,0.000502515955335424,0.111387155870902,150
168,531188.5791,4419939.11,0.0236658782026725,0.0201701998768887,0.000513678403484911,0.110618250421277,150
169,531213.5791,4419939.11,0.0235806043197958,0.0199261058351351,0.000525297797091216,0.109880197068188,150
170,531238.5791,4419939.11,0.0235151231362704,0.0197003454633659,0.000535685558679014,0.109159936587114,150
171,531263.5791,4419939.11,0.0234801089965565,0.0194966847804526,0.000543963339834632,0.108452935572492,150
172,531288.5791,4419939.11,0.0234382407626372,0.0192987254636626,0.000553035074711946,0.107784598517505,150
173,531313.5791,4419939.11,0.0233847071290545,0.0191052359463829,0.000563140070150457,0.107157366242234,150
174,531338.5791,4419939.11,0.0233149103906919,0.0188806287959302,0.000583477353416038,0.107104126103479,150
175,531363.5791,4419939.11,0.0233144506207349,0.0187259893071678,0.000589999270202325,0.106508139730985,150
176,531388.5791,4419939.11,0.0233033014328174,0.0185766425454504,0.000597352683867298,0.105956578610865,150
177,531413.5791,4419939.11,0.0249299715883863,0.0186445721841552,0.000592152569424496,0.0941014421590241,150
178,531438.5791,4419939.11,0.0248902410436415,0.018493661886481,0.000600702570983935,0.0930781690320606,150
