"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"SVM","Repeat_16_Fold_02",16,"Fold_02",2,0.0398927975162671,0.0408300735478051,0.0865574107413984,0.10569028144902,0.19394401008165,0.121552944611877
"SVM","Repeat_16_Fold_03",16,"Fold_03",3,0.0431661025759706,0.0574144892731988,0.103634549356391,0.147075955434719,0.323742927358258,0.157995081122368
"SVM","Repeat_16_Fold_04",16,"Fold_04",4,0.0467603460007688,0.0616826616772658,0.116025020579407,0.168454880841983,0.313434635295113,0.1701256693553
"SVM","Repeat_16_Fold_05",16,"Fold_05",5,0.0398917357820026,0.0395586955469761,0.0993833003539899,0.124357739353027,0.176467119773689,0.119009126875955
"SVM","Repeat_17_Fold_01",17,"Fold_01",1,0.0463424363053693,0.0304798770228626,0.0928337134960263,0.109992552501815,0.135018133183242,0.107302190351094
"SVM","Repeat_17_Fold_02",17,"Fold_02",2,0.0419398753815909,0.0287102232793436,0.0900280716478821,0.103090986499438,0.116952852169138,0.0993603219402782
"SVM","Repeat_17_Fold_03",17,"Fold_03",3,0.0479898684867275,0.0363052353073768,0.103069505000658,0.124394804591954,0.158732900473203,0.120600339101481
"SVM","Repeat_17_Fold_04",17,"Fold_04",4,0.0406945349642749,0.00269139964300144,0.0439893910939091,0.044508313181416,0.0452959942762395,0.0460773342502778
"SVM","Repeat_17_Fold_05",17,"Fold_05",5,0.0469361457552325,0.033893253853835,0.100331461207703,0.116998365520961,0.140789855522776,0.114722653462902
"SVM","Repeat_18_Fold_01",18,"Fold_01",1,0.0388875704889776,0.0356688043112112,0.0812538310846028,0.114484087130153,0.193895488295279,0.1102251791114
"SVM","Repeat_18_Fold_02",18,"Fold_02",2,0.0404971250984214,0.0442778477056725,0.102793455936558,0.136015641121577,0.211468030753383,0.129052820509766
"SVM","Repeat_18_Fold_03",18,"Fold_03",3,0.0419880346344901,0.00532558468325219,0.0486663369657161,0.0505181607487593,0.0531980464892503,0.0526392040009945
"SVM","Repeat_18_Fold_04",18,"Fold_04",4,0.0421749010170297,0.113911779923263,0.0359667444962312,0.0848981395845854,0.837537026326667,0.269998460863557
"SVM","Repeat_18_Fold_05",18,"Fold_05",5,0.0414743194005341,0.0234911721174022,0.0709916860437578,0.0825048294189538,0.131898063152176,0.0884566636353386
"SVM","Repeat_19_Fold_01",19,"Fold_01",1,0.0322676566669664,0.0237976730547533,0.0453080023191343,0.0602192914402111,0.125100370533074,0.0798630027764731
"SVM","Repeat_19_Fold_02",19,"Fold_02",2,0.0365581144900559,0.0301256700443431,0.0850807724201339,0.0998031559930567,0.12150126776195,0.0968094545787422
"SVM","Repeat_19_Fold_03",19,"Fold_03",3,0.038559196628713,0.0304566052193659,0.0888053657642235,0.103794638511966,0.126955566529098,0.0994724070674449
"SVM","Repeat_19_Fold_04",19,"Fold_04",4,0.0393954043387075,0.0215082727960715,0.065611865335274,0.0869142432703925,0.128332318570654,0.0824119499308505
"SVM","Repeat_19_Fold_05",19,"Fold_05",5,0.0402467109776202,0.00468816044752733,0.0467822468113407,0.0476796890346449,0.0488303935524589,0.0496230318726748
"SVM","Repeat_20_Fold_01",20,"Fold_01",1,0.0395752329222876,0.106835385001523,0.0362159638598844,0.0482096644789831,0.776107775837879,0.253246002925334
"SVM","Repeat_20_Fold_02",20,"Fold_02",2,0.0409081818437486,0.0305981660418677,0.0881365631890526,0.105305500087318,0.13218389231212,0.102104513927484
"SVM","Repeat_20_Fold_03",20,"Fold_03",3,0.0339186861694705,0.0206156001797607,0.0628764063274615,0.0748357910701199,0.102744142647091,0.075149886528992
"SVM","Repeat_20_Fold_04",20,"Fold_04",4,0.0533942651272816,0.10746855904107,0.0860217181167859,0.182509640359049,0.666118061650352,0.268331383209422
"SVM","Repeat_20_Fold_05",20,"Fold_05",5,0.0375929535301995,0.0240663577739531,0.0739800927761611,0.0860744524727999,0.108372508007279,0.0857256690781056
"SVM","Repeat_21_Fold_01",21,"Fold_01",1,0.0419080805124674,0.011522241928126,0.0596594411523183,0.0621776224303168,0.0663585227922731,0.0649525643687195
"SVM","Repeat_21_Fold_02",21,"Fold_02",2,0.0415340497111691,0.00770934396341694,0.0527467420184824,0.0548098792804555,0.0574820810828467,0.0569527376380029
"SVM","Repeat_21_Fold_03",21,"Fold_03",3,0.043316764755228,0.0287586539922106,0.088501367431031,0.101801396150871,0.121677889866546,0.100834072739649
"SVM","Repeat_21_Fold_04",21,"Fold_04",4,0.0445273744167869,0.135218987473217,0.0398172182400908,0.0545123149759827,0.980321846180309,0.314965349363221
"SVM","Repeat_21_Fold_05",21,"Fold_05",5,0.0454023174345526,0.0319469964963983,0.0955297438461168,0.111089308409629,0.130816036079215,0.109296310427349
"SVM","Repeat_22_Fold_01",22,"Fold_01",1,0.0388074473764671,0.0305056568043762,0.086078229224414,0.104137840032249,0.127371491991536,0.0998187609852195
