"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Probability","Threshold_P90","Captured_P90","Threshold_P95","Captured_P95","Threshold_P99","Captured_P99","Threshold_Mean_Plus_2SD","Captured_Mean_Plus_2SD"
"SVM","Repeat_14_Fold_01",14,"Fold_01",1,4678,0.0435952257508304,0.0385216509685135,TRUE,0.0456818865557015,FALSE,0.602457835767542,FALSE,0.227072652554971,FALSE
"SVM","Repeat_14_Fold_02",14,"Fold_02",2,5882,0.0408659124268527,0.0660498254242888,FALSE,0.0704765851650556,FALSE,0.0757512515722952,FALSE,0.0731512842153365,FALSE
"SVM","Repeat_14_Fold_03",14,"Fold_03",3,5972,0.0574965088060453,0.0559972366312434,TRUE,0.0593302135381326,FALSE,0.0649466937803492,FALSE,0.061573430263935,FALSE
"SVM","Repeat_14_Fold_04",14,"Fold_04",4,5000,0.00457399675966255,0.0665522156188199,FALSE,0.114437111992716,FALSE,0.285150597619502,FALSE,0.138448931456619,FALSE
"SVM","Repeat_14_Fold_05",14,"Fold_05",5,6362,0.0422992995878158,0.0422914936004783,TRUE,0.0424267130609402,FALSE,0.04260835651111,FALSE,0.0426816576507737,FALSE
"SVM","Repeat_15_Fold_01",15,"Fold_01",1,4678,0.0432319314621887,0.0426354126830947,TRUE,0.0432319314621887,FALSE,0.0579234486072587,FALSE,0.0502437582624693,FALSE
"SVM","Repeat_15_Fold_02",15,"Fold_02",2,5882,0.0519449886500912,0.10645094646538,FALSE,0.131837855058971,FALSE,0.163532831192174,FALSE,0.120588792363567,FALSE
"SVM","Repeat_15_Fold_03",15,"Fold_03",3,5972,0.0157482345007015,0.0822861192344077,FALSE,0.093334540655483,FALSE,0.107121265646845,FALSE,0.0929454786639641,FALSE
"SVM","Repeat_15_Fold_04",15,"Fold_04",4,5000,0.0343821056617924,0.0462094058769535,FALSE,0.0495447105178174,FALSE,0.0551304200196887,FALSE,0.0507050911723391,FALSE
"SVM","Repeat_15_Fold_05",15,"Fold_05",5,6362,0.0658296933143384,0.0758337572588402,FALSE,0.0867095215532687,FALSE,0.10420057814053,FALSE,0.0862486241367307,FALSE
"SVM","Repeat_16_Fold_01",16,"Fold_01",1,4678,0.0650776966198796,0.0745084579219757,FALSE,0.0840229610917909,FALSE,0.0950822015326197,FALSE,0.084200497570667,FALSE
