"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Occurrence_Probability","Kernel","Cost","Gamma","Class_Weight_PseudoBackground","Class_Weight_Occurrence","Inner_nfold","Inner_CV_Logloss","Scaling_Applied","SVM_Seed","QAQC_Status"
"SVM","Repeat_19_Fold_02",19,"Fold_02",2,5882,0.0853679333950872,"radial",1,0.01,1,25,4,0.151428984804559,TRUE,10902,"PASS"
"SVM","Repeat_19_Fold_03",19,"Fold_03",3,5972,0.0964762895927085,"radial",10,0.01,1,25,4,0.156683016986106,TRUE,10903,"PASS"
"SVM","Repeat_19_Fold_04",19,"Fold_04",4,5000,0.0264766284772778,"radial",1,0.1,1,25,4,0.14259717172662,TRUE,10904,"PASS"
"SVM","Repeat_19_Fold_05",19,"Fold_05",5,6362,0.0460787133001445,"radial",10,0.01,1,25,4,0.15724911230272,TRUE,10905,"PASS"
"SVM","Repeat_20_Fold_01",20,"Fold_01",1,4678,0.0411853302493688,"radial",100,1,1,25,4,0.128765990519036,TRUE,11001,"PASS"
"SVM","Repeat_20_Fold_02",20,"Fold_02",2,5882,0.106429188057254,"radial",1,0.01,1,25,4,0.153061375599359,TRUE,11002,"PASS"
"SVM","Repeat_20_Fold_03",20,"Fold_03",3,5972,0.0652592946510284,"radial",1,0.01,1,25,4,0.152600917762401,TRUE,11003,"PASS"
"SVM","Repeat_20_Fold_04",20,"Fold_04",4,5000,0.000941712081443456,"radial",10,0.1,1,25,4,0.122777458205372,TRUE,11004,"PASS"
"SVM","Repeat_20_Fold_05",20,"Fold_05",5,6362,0.0743826816932102,"radial",1,0.01,1,25,4,0.153329065519475,TRUE,11005,"PASS"
"SVM","Repeat_21_Fold_01",21,"Fold_01",1,4678,0.0571893599547035,"radial",10,0.01,1,25,4,0.158044858456595,TRUE,11101,"PASS"
"SVM","Repeat_21_Fold_02",21,"Fold_02",2,5882,0.0532953323015543,"radial",1,0.01,1,25,4,0.149554058784906,TRUE,11102,"PASS"
"SVM","Repeat_21_Fold_03",21,"Fold_03",3,5972,0.0987140089458707,"radial",1,0.01,1,25,4,0.156061237072834,TRUE,11103,"PASS"
"SVM","Repeat_21_Fold_04",21,"Fold_04",4,5000,0.021359805531457,"radial",100,1,1,25,4,0.144712318705644,TRUE,11104,"PASS"
"SVM","Repeat_21_Fold_05",21,"Fold_05",5,6362,0.0975327571959027,"radial",1,0.01,1,25,4,0.146290196369381,TRUE,11105,"PASS"
"SVM","Repeat_22_Fold_01",22,"Fold_01",1,4678,0.0722178535558975,"radial",1,0.01,1,25,4,0.159714163399401,TRUE,11201,"PASS"
"SVM","Repeat_22_Fold_02",22,"Fold_02",2,5882,0.113993036240971,"radial",1,0.01,1,25,4,0.148552270881192,TRUE,11202,"PASS"
"SVM","Repeat_22_Fold_03",22,"Fold_03",3,5972,0.0849450592081197,"radial",10,0.01,1,25,4,0.152088481886061,TRUE,11203,"PASS"
"SVM","Repeat_22_Fold_04",22,"Fold_04",4,5000,0.0198622693071986,"radial",100,1,1,25,4,0.116348047856522,TRUE,11204,"PASS"
"SVM","Repeat_22_Fold_05",22,"Fold_05",5,6362,0.0585882589152802,"radial",10,0.01,1,25,4,0.155219274523641,TRUE,11205,"PASS"
"SVM","Repeat_23_Fold_01",23,"Fold_01",1,4678,0.0399094102024838,"radial",100,1,1,25,4,0.140612378194672,TRUE,11301,"PASS"
"SVM","Repeat_23_Fold_02",23,"Fold_02",2,5882,0.0371833406925924,"radial",10,0.01,1,25,4,0.135742292411875,TRUE,11302,"PASS"
"SVM","Repeat_23_Fold_03",23,"Fold_03",3,5972,0.0986060849736452,"radial",1,0.01,1,25,4,0.138394673909273,TRUE,11303,"PASS"
"SVM","Repeat_23_Fold_04",23,"Fold_04",4,5000,0.0111098938471331,"radial",1,0.1,1,25,4,0.121079237532466,TRUE,11304,"PASS"
"SVM","Repeat_23_Fold_05",23,"Fold_05",5,6362,0.0847179966421789,"radial",1,0.01,1,25,4,0.148338992472217,TRUE,11305,"PASS"
"SVM","Repeat_24_Fold_01",24,"Fold_01",1,4678,0.0467444959001769,"radial",100,0.01,1,25,4,0.169090666986032,TRUE,11401,"PASS"
"SVM","Repeat_24_Fold_02",24,"Fold_02",2,5882,0.0584189795684143,"radial",10,0.01,1,25,4,0.155664857459373,TRUE,11402,"PASS"
"SVM","Repeat_24_Fold_03",24,"Fold_03",3,5972,0.0355384646286757,"radial",100,0.1,1,25,4,0.144800780700232,TRUE,11403,"PASS"
"SVM","Repeat_24_Fold_04",24,"Fold_04",4,5000,0.00937438252375038,"radial",10,0.1,1,25,4,0.140638609539672,TRUE,11404,"PASS"
"SVM","Repeat_24_Fold_05",24,"Fold_05",5,6362,0.0495804446889839,"radial",1,0.01,1,25,4,0.15431915802458,TRUE,11405,"PASS"
"SVM","Repeat_25_Fold_01",25,"Fold_01",1,4678,0.0904717534372133,"radial",10,0.01,1,25,4,0.14761879202303,TRUE,11501,"PASS"
"SVM","Repeat_25_Fold_02",25,"Fold_02",2,5882,0.0325630307173112,"radial",10,0.01,1,25,4,0.145144505667807,TRUE,11502,"PASS"
"SVM","Repeat_25_Fold_03",25,"Fold_03",3,5972,0.0310634670781934,"radial",100,0.01,1,25,4,0.154999236290545,TRUE,11503,"PASS"
"SVM","Repeat_25_Fold_04",25,"Fold_04",4,5000,0.0238690813621318,"radial",10,1,1,25,4,0.134451504144878,TRUE,11504,"PASS"
"SVM","Repeat_25_Fold_05",25,"Fold_05",5,6362,0.132790247213154,"radial",1,0.01,1,25,4,0.151820699511672,TRUE,11505,"PASS"
"SVM","Repeat_26_Fold_01",26,"Fold_01",1,4678,0.133627651295181,"radial",1,0.01,1,25,4,0.151579077791753,TRUE,11601,"PASS"
"SVM","Repeat_26_Fold_02",26,"Fold_02",2,5882,0.183811723922368,"radial",1,0.01,1,25,4,0.13728638318026,TRUE,11602,"PASS"
"SVM","Repeat_26_Fold_03",26,"Fold_03",3,5972,0.0735359795752684,"radial",1,0.01,1,25,4,0.14704293183616,TRUE,11603,"PASS"
"SVM","Repeat_26_Fold_04",26,"Fold_04",4,5000,0.00146820449360259,"radial",10,0.1,1,25,4,0.105599872940909,TRUE,11604,"PASS"
"SVM","Repeat_26_Fold_05",26,"Fold_05",5,6362,0.0791839203321025,"radial",1,0.01,1,25,4,0.161239771818813,TRUE,11605,"PASS"
"SVM","Repeat_27_Fold_01",27,"Fold_01",1,4678,0.0671031968583843,"radial",1,0.01,1,25,4,0.15385248666339,TRUE,11701,"PASS"
"SVM","Repeat_27_Fold_02",27,"Fold_02",2,5882,0.0649490443042417,"radial",100,0.01,1,25,4,0.144764346632646,TRUE,11702,"PASS"
"SVM","Repeat_27_Fold_03",27,"Fold_03",3,5972,0.0300349148828962,"radial",1,0.01,1,25,4,0.153901343490546,TRUE,11703,"PASS"
