"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","Kernel","Cost","Gamma","Inner_nfold","Inner_CV_Logloss"
"SVM","Repeat_03_Fold_02",3,"Fold_02",2,"radial",1,0.01,4,0.148056705389906
"SVM","Repeat_03_Fold_02",3,"Fold_02",3,"radial",10,0.01,4,0.150717539343406
"SVM","Repeat_03_Fold_02",3,"Fold_02",4,"radial",100,0.01,4,0.140089822963482
"SVM","Repeat_03_Fold_02",3,"Fold_02",5,"radial",0.1,0.1,4,0.17361286585193
"SVM","Repeat_03_Fold_02",3,"Fold_02",6,"radial",1,0.1,4,0.171473552846262
"SVM","Repeat_03_Fold_02",3,"Fold_02",7,"radial",10,0.1,4,0.173173277765113
"SVM","Repeat_03_Fold_02",3,"Fold_02",8,"radial",100,0.1,4,0.178473505174635
"SVM","Repeat_03_Fold_02",3,"Fold_02",9,"radial",0.1,1,4,0.208404608324023
"SVM","Repeat_03_Fold_02",3,"Fold_02",10,"radial",1,1,4,0.160207331462959
"SVM","Repeat_03_Fold_02",3,"Fold_02",11,"radial",10,1,4,0.158244063767225
"SVM","Repeat_03_Fold_02",3,"Fold_02",12,"radial",100,1,4,0.172132048833885
"SVM","Repeat_03_Fold_03",3,"Fold_03",1,"radial",0.1,0.01,4,0.174909401126607
"SVM","Repeat_03_Fold_03",3,"Fold_03",2,"radial",1,0.01,4,0.146932343534757
"SVM","Repeat_03_Fold_03",3,"Fold_03",3,"radial",10,0.01,4,0.152776646295753
"SVM","Repeat_03_Fold_03",3,"Fold_03",4,"radial",100,0.01,4,0.150929824151179
"SVM","Repeat_03_Fold_03",3,"Fold_03",5,"radial",0.1,0.1,4,0.164610656985903
"SVM","Repeat_03_Fold_03",3,"Fold_03",6,"radial",1,0.1,4,0.166543671033315
"SVM","Repeat_03_Fold_03",3,"Fold_03",7,"radial",10,0.1,4,0.203060235225644
"SVM","Repeat_03_Fold_03",3,"Fold_03",8,"radial",100,0.1,4,0.214210375023846
"SVM","Repeat_03_Fold_03",3,"Fold_03",9,"radial",0.1,1,4,0.165695654666996
"SVM","Repeat_03_Fold_03",3,"Fold_03",10,"radial",1,1,4,0.164014557963823
"SVM","Repeat_03_Fold_03",3,"Fold_03",11,"radial",10,1,4,0.163489270099161
"SVM","Repeat_03_Fold_03",3,"Fold_03",12,"radial",100,1,4,0.167296805651789
"SVM","Repeat_03_Fold_04",3,"Fold_04",1,"radial",0.1,0.01,4,0.192236020473684
"SVM","Repeat_03_Fold_04",3,"Fold_04",2,"radial",1,0.01,4,0.165294195385853
"SVM","Repeat_03_Fold_04",3,"Fold_04",3,"radial",10,0.01,4,0.16575781504187
"SVM","Repeat_03_Fold_04",3,"Fold_04",4,"radial",100,0.01,4,0.185272982530969
"SVM","Repeat_03_Fold_04",3,"Fold_04",5,"radial",0.1,0.1,4,0.16988173363019
"SVM","Repeat_03_Fold_04",3,"Fold_04",6,"radial",1,0.1,4,0.149272235447616
"SVM","Repeat_03_Fold_04",3,"Fold_04",7,"radial",10,0.1,4,0.151514921325409
"SVM","Repeat_03_Fold_04",3,"Fold_04",8,"radial",100,0.1,4,0.141453148850866
"SVM","Repeat_03_Fold_04",3,"Fold_04",9,"radial",0.1,1,4,0.189444970538636
"SVM","Repeat_03_Fold_04",3,"Fold_04",10,"radial",1,1,4,0.189294377167168
"SVM","Repeat_03_Fold_04",3,"Fold_04",11,"radial",10,1,4,0.171455280411675
"SVM","Repeat_03_Fold_04",3,"Fold_04",12,"radial",100,1,4,0.157325191090667
"SVM","Repeat_03_Fold_05",3,"Fold_05",1,"radial",0.1,0.01,4,0.188130065201663
"SVM","Repeat_03_Fold_05",3,"Fold_05",2,"radial",1,0.01,4,0.154196339912061
"SVM","Repeat_03_Fold_05",3,"Fold_05",3,"radial",10,0.01,4,0.155013153283345
"SVM","Repeat_03_Fold_05",3,"Fold_05",4,"radial",100,0.01,4,0.159685333501504
"SVM","Repeat_03_Fold_05",3,"Fold_05",5,"radial",0.1,0.1,4,0.169054625434916
"SVM","Repeat_03_Fold_05",3,"Fold_05",6,"radial",1,0.1,4,0.164741438951268
"SVM","Repeat_03_Fold_05",3,"Fold_05",7,"radial",10,0.1,4,0.173392570989139
"SVM","Repeat_03_Fold_05",3,"Fold_05",8,"radial",100,0.1,4,0.177212158127443
"SVM","Repeat_03_Fold_05",3,"Fold_05",9,"radial",0.1,1,4,0.175148060626901
"SVM","Repeat_03_Fold_05",3,"Fold_05",10,"radial",1,1,4,0.162306958848924
"SVM","Repeat_03_Fold_05",3,"Fold_05",11,"radial",10,1,4,0.158111131272904
"SVM","Repeat_03_Fold_05",3,"Fold_05",12,"radial",100,1,4,0.160349754541248
"SVM","Repeat_04_Fold_01",4,"Fold_01",1,"radial",0.1,0.01,4,0.190022719425137
"SVM","Repeat_04_Fold_01",4,"Fold_01",2,"radial",1,0.01,4,0.147760495718883
"SVM","Repeat_04_Fold_01",4,"Fold_01",3,"radial",10,0.01,4,0.15041995361145
"SVM","Repeat_04_Fold_01",4,"Fold_01",4,"radial",100,0.01,4,0.16601951083734
"SVM","Repeat_04_Fold_01",4,"Fold_01",5,"radial",0.1,0.1,4,0.180878038734294
"SVM","Repeat_04_Fold_01",4,"Fold_01",6,"radial",1,0.1,4,0.157084614880369
"SVM","Repeat_04_Fold_01",4,"Fold_01",7,"radial",10,0.1,4,0.195494663570173
"SVM","Repeat_04_Fold_01",4,"Fold_01",8,"radial",100,0.1,4,0.176233692002575
"SVM","Repeat_04_Fold_01",4,"Fold_01",9,"radial",0.1,1,4,0.202961755580143
"SVM","Repeat_04_Fold_01",4,"Fold_01",10,"radial",1,1,4,0.15820577015418
"SVM","Repeat_04_Fold_01",4,"Fold_01",11,"radial",10,1,4,0.15838494303788
"SVM","Repeat_04_Fold_01",4,"Fold_01",12,"radial",100,1,4,0.145614060069291
"SVM","Repeat_04_Fold_02",4,"Fold_02",1,"radial",0.1,0.01,4,0.169877983600314
"SVM","Repeat_04_Fold_02",4,"Fold_02",2,"radial",1,0.01,4,0.152577213110453
"SVM","Repeat_04_Fold_02",4,"Fold_02",3,"radial",10,0.01,4,0.149952187899676
"SVM","Repeat_04_Fold_02",4,"Fold_02",4,"radial",100,0.01,4,0.152667002641979
"SVM","Repeat_04_Fold_02",4,"Fold_02",5,"radial",0.1,0.1,4,0.176883276853854
