"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","Kernel","Cost","Gamma","Inner_nfold","Inner_CV_Logloss"
"SVM","Repeat_10_Fold_03",10,"Fold_03",3,"radial",10,0.01,4,0.158859728649235
"SVM","Repeat_10_Fold_03",10,"Fold_03",4,"radial",100,0.01,4,0.164795474807629
"SVM","Repeat_10_Fold_03",10,"Fold_03",5,"radial",0.1,0.1,4,0.178169270117957
"SVM","Repeat_10_Fold_03",10,"Fold_03",6,"radial",1,0.1,4,0.179919149495486
"SVM","Repeat_10_Fold_03",10,"Fold_03",7,"radial",10,0.1,4,0.178093036383307
"SVM","Repeat_10_Fold_03",10,"Fold_03",8,"radial",100,0.1,4,0.16995861401643
"SVM","Repeat_10_Fold_03",10,"Fold_03",9,"radial",0.1,1,4,0.167710276671806
"SVM","Repeat_10_Fold_03",10,"Fold_03",10,"radial",1,1,4,0.162764507294665
"SVM","Repeat_10_Fold_03",10,"Fold_03",11,"radial",10,1,4,0.169245760705761
"SVM","Repeat_10_Fold_03",10,"Fold_03",12,"radial",100,1,4,0.164067021731661
"SVM","Repeat_10_Fold_04",10,"Fold_04",1,"radial",0.1,0.01,4,0.192330466989902
"SVM","Repeat_10_Fold_04",10,"Fold_04",2,"radial",1,0.01,4,0.156415939669534
"SVM","Repeat_10_Fold_04",10,"Fold_04",3,"radial",10,0.01,4,0.161383105409515
"SVM","Repeat_10_Fold_04",10,"Fold_04",4,"radial",100,0.01,4,0.182267842675103
"SVM","Repeat_10_Fold_04",10,"Fold_04",5,"radial",0.1,0.1,4,0.161183352855697
"SVM","Repeat_10_Fold_04",10,"Fold_04",6,"radial",1,0.1,4,0.166650178842687
"SVM","Repeat_10_Fold_04",10,"Fold_04",7,"radial",10,0.1,4,0.166841594000017
"SVM","Repeat_10_Fold_04",10,"Fold_04",8,"radial",100,0.1,4,0.157260896820985
"SVM","Repeat_10_Fold_04",10,"Fold_04",9,"radial",0.1,1,4,0.185408135235954
"SVM","Repeat_10_Fold_04",10,"Fold_04",10,"radial",1,1,4,0.151449170972751
"SVM","Repeat_10_Fold_04",10,"Fold_04",11,"radial",10,1,4,0.145146600084894
"SVM","Repeat_10_Fold_04",10,"Fold_04",12,"radial",100,1,4,0.157849604453585
"SVM","Repeat_10_Fold_05",10,"Fold_05",1,"radial",0.1,0.01,4,0.189964762040773
"SVM","Repeat_10_Fold_05",10,"Fold_05",2,"radial",1,0.01,4,0.162135256810463
"SVM","Repeat_10_Fold_05",10,"Fold_05",3,"radial",10,0.01,4,0.16549315908641
"SVM","Repeat_10_Fold_05",10,"Fold_05",4,"radial",100,0.01,4,0.174599065164188
"SVM","Repeat_10_Fold_05",10,"Fold_05",5,"radial",0.1,0.1,4,0.176777490247175
"SVM","Repeat_10_Fold_05",10,"Fold_05",6,"radial",1,0.1,4,0.168217846006746
"SVM","Repeat_10_Fold_05",10,"Fold_05",7,"radial",10,0.1,4,0.174879208591038
"SVM","Repeat_10_Fold_05",10,"Fold_05",8,"radial",100,0.1,4,0.183129210040529
"SVM","Repeat_10_Fold_05",10,"Fold_05",9,"radial",0.1,1,4,0.168952593868165
"SVM","Repeat_10_Fold_05",10,"Fold_05",10,"radial",1,1,4,0.165418247147852
"SVM","Repeat_10_Fold_05",10,"Fold_05",11,"radial",10,1,4,0.172542056180641
"SVM","Repeat_10_Fold_05",10,"Fold_05",12,"radial",100,1,4,0.172302890350661
"SVM","Repeat_11_Fold_01",11,"Fold_01",1,"radial",0.1,0.01,4,0.180670569026077
"SVM","Repeat_11_Fold_01",11,"Fold_01",2,"radial",1,0.01,4,0.169148943514503
"SVM","Repeat_11_Fold_01",11,"Fold_01",3,"radial",10,0.01,4,0.172964442177771
"SVM","Repeat_11_Fold_01",11,"Fold_01",4,"radial",100,0.01,4,0.184726893950565
"SVM","Repeat_11_Fold_01",11,"Fold_01",5,"radial",0.1,0.1,4,0.183671816786443
"SVM","Repeat_11_Fold_01",11,"Fold_01",6,"radial",1,0.1,4,0.181814082582679
"SVM","Repeat_11_Fold_01",11,"Fold_01",7,"radial",10,0.1,4,0.184421644034327
"SVM","Repeat_11_Fold_01",11,"Fold_01",8,"radial",100,0.1,4,0.212023366490366
"SVM","Repeat_11_Fold_01",11,"Fold_01",9,"radial",0.1,1,4,0.233558890273912
"SVM","Repeat_11_Fold_01",11,"Fold_01",10,"radial",1,1,4,0.190424434226967
"SVM","Repeat_11_Fold_01",11,"Fold_01",11,"radial",10,1,4,0.222603292963871
"SVM","Repeat_11_Fold_01",11,"Fold_01",12,"radial",100,1,4,0.208988964982799
"SVM","Repeat_11_Fold_02",11,"Fold_02",1,"radial",0.1,0.01,4,0.178435199914683
"SVM","Repeat_11_Fold_02",11,"Fold_02",2,"radial",1,0.01,4,0.165095548177717
"SVM","Repeat_11_Fold_02",11,"Fold_02",3,"radial",10,0.01,4,0.147875427105172
"SVM","Repeat_11_Fold_02",11,"Fold_02",4,"radial",100,0.01,4,0.137661446978388
"SVM","Repeat_11_Fold_02",11,"Fold_02",5,"radial",0.1,0.1,4,0.194143330695734
"SVM","Repeat_11_Fold_02",11,"Fold_02",6,"radial",1,0.1,4,0.205476510978792
"SVM","Repeat_11_Fold_02",11,"Fold_02",7,"radial",10,0.1,4,0.208420616777647
"SVM","Repeat_11_Fold_02",11,"Fold_02",8,"radial",100,0.1,4,0.17197689454029
"SVM","Repeat_11_Fold_02",11,"Fold_02",9,"radial",0.1,1,4,0.220883788264045
"SVM","Repeat_11_Fold_02",11,"Fold_02",10,"radial",1,1,4,0.198084532115116
"SVM","Repeat_11_Fold_02",11,"Fold_02",11,"radial",10,1,4,0.145218444241316
"SVM","Repeat_11_Fold_02",11,"Fold_02",12,"radial",100,1,4,0.200447841599809
"SVM","Repeat_11_Fold_03",11,"Fold_03",1,"radial",0.1,0.01,4,0.183551844913997
"SVM","Repeat_11_Fold_03",11,"Fold_03",2,"radial",1,0.01,4,0.165934175455927
"SVM","Repeat_11_Fold_03",11,"Fold_03",3,"radial",10,0.01,4,0.175057606474886
"SVM","Repeat_11_Fold_03",11,"Fold_03",4,"radial",100,0.01,4,0.166028335642844
"SVM","Repeat_11_Fold_03",11,"Fold_03",5,"radial",0.1,0.1,4,0.172174818797818
"SVM","Repeat_11_Fold_03",11,"Fold_03",6,"radial",1,0.1,4,0.182515200395901
"SVM","Repeat_11_Fold_03",11,"Fold_03",7,"radial",10,0.1,4,0.219874514821452
"SVM","Repeat_11_Fold_03",11,"Fold_03",8,"radial",100,0.1,4,0.209755394359518
"SVM","Repeat_11_Fold_03",11,"Fold_03",9,"radial",0.1,1,4,0.170359557195061
"SVM","Repeat_11_Fold_03",11,"Fold_03",10,"radial",1,1,4,0.179536347755804
"SVM","Repeat_11_Fold_03",11,"Fold_03",11,"radial",10,1,4,0.16833102169535
"SVM","Repeat_11_Fold_03",11,"Fold_03",12,"radial",100,1,4,0.179020488710494
"SVM","Repeat_11_Fold_04",11,"Fold_04",1,"radial",0.1,0.01,4,0.18602024612507
"SVM","Repeat_11_Fold_04",11,"Fold_04",2,"radial",1,0.01,4,0.17949345416669
"SVM","Repeat_11_Fold_04",11,"Fold_04",3,"radial",10,0.01,4,0.143319703601489
"SVM","Repeat_11_Fold_04",11,"Fold_04",4,"radial",100,0.01,4,0.149806918255411
"SVM","Repeat_11_Fold_04",11,"Fold_04",5,"radial",0.1,0.1,4,0.150460515783878
"SVM","Repeat_11_Fold_04",11,"Fold_04",6,"radial",1,0.1,4,0.134894508446672
"SVM","Repeat_11_Fold_04",11,"Fold_04",7,"radial",10,0.1,4,0.139880570984339
"SVM","Repeat_11_Fold_04",11,"Fold_04",8,"radial",100,0.1,4,0.132263136800378
"SVM","Repeat_11_Fold_04",11,"Fold_04",9,"radial",0.1,1,4,0.221237103320638
"SVM","Repeat_11_Fold_04",11,"Fold_04",10,"radial",1,1,4,0.152936890625939
"SVM","Repeat_11_Fold_04",11,"Fold_04",11,"radial",10,1,4,0.178449408281141
"SVM","Repeat_11_Fold_04",11,"Fold_04",12,"radial",100,1,4,0.196083385070739
"SVM","Repeat_11_Fold_05",11,"Fold_05",1,"radial",0.1,0.01,4,0.176675300635915
"SVM","Repeat_11_Fold_05",11,"Fold_05",2,"radial",1,0.01,4,0.165864965541742
"SVM","Repeat_11_Fold_05",11,"Fold_05",3,"radial",10,0.01,4,0.163230777206968
"SVM","Repeat_11_Fold_05",11,"Fold_05",4,"radial",100,0.01,4,0.16057726035065
"SVM","Repeat_11_Fold_05",11,"Fold_05",5,"radial",0.1,0.1,4,0.184017507295164
"SVM","Repeat_11_Fold_05",11,"Fold_05",6,"radial",1,0.1,4,0.196980404547071
"SVM","Repeat_11_Fold_05",11,"Fold_05",7,"radial",10,0.1,4,0.249939287827253
"SVM","Repeat_11_Fold_05",11,"Fold_05",8,"radial",100,0.1,4,0.230841616572692
"SVM","Repeat_11_Fold_05",11,"Fold_05",9,"radial",0.1,1,4,0.164539695236782
"SVM","Repeat_11_Fold_05",11,"Fold_05",10,"radial",1,1,4,0.159360661077184
"SVM","Repeat_11_Fold_05",11,"Fold_05",11,"radial",10,1,4,0.159952284553549
"SVM","Repeat_11_Fold_05",11,"Fold_05",12,"radial",100,1,4,0.16702398593866
"SVM","Repeat_12_Fold_01",12,"Fold_01",1,"radial",0.1,0.01,4,0.174392926304855
"SVM","Repeat_12_Fold_01",12,"Fold_01",2,"radial",1,0.01,4,0.162718033733287
"SVM","Repeat_12_Fold_01",12,"Fold_01",3,"radial",10,0.01,4,0.154320757474383
"SVM","Repeat_12_Fold_01",12,"Fold_01",4,"radial",100,0.01,4,0.16565407668859
"SVM","Repeat_12_Fold_01",12,"Fold_01",5,"radial",0.1,0.1,4,0.18985942067629
"SVM","Repeat_12_Fold_01",12,"Fold_01",6,"radial",1,0.1,4,0.181909293946167
"SVM","Repeat_12_Fold_01",12,"Fold_01",7,"radial",10,0.1,4,0.200240295644542
"SVM","Repeat_12_Fold_01",12,"Fold_01",8,"radial",100,0.1,4,0.19263807249547
"SVM","Repeat_12_Fold_01",12,"Fold_01",9,"radial",0.1,1,4,0.236934299636418
"SVM","Repeat_12_Fold_01",12,"Fold_01",10,"radial",1,1,4,0.212620085548232
"SVM","Repeat_12_Fold_01",12,"Fold_01",11,"radial",10,1,4,0.24333976513006
"SVM","Repeat_12_Fold_01",12,"Fold_01",12,"radial",100,1,4,0.193075408668558
"SVM","Repeat_12_Fold_02",12,"Fold_02",1,"radial",0.1,0.01,4,0.174574747873114
"SVM","Repeat_12_Fold_02",12,"Fold_02",2,"radial",1,0.01,4,0.163456779179898
"SVM","Repeat_12_Fold_02",12,"Fold_02",3,"radial",10,0.01,4,0.150787287479259
"SVM","Repeat_12_Fold_02",12,"Fold_02",4,"radial",100,0.01,4,0.165201800503238
"SVM","Repeat_12_Fold_02",12,"Fold_02",5,"radial",0.1,0.1,4,0.182074441705754
"SVM","Repeat_12_Fold_02",12,"Fold_02",6,"radial",1,0.1,4,0.180964060012398
"SVM","Repeat_12_Fold_02",12,"Fold_02",7,"radial",10,0.1,4,0.186210994330918
"SVM","Repeat_12_Fold_02",12,"Fold_02",8,"radial",100,0.1,4,0.203151070272199
"SVM","Repeat_12_Fold_02",12,"Fold_02",9,"radial",0.1,1,4,0.211208194372511
"SVM","Repeat_12_Fold_02",12,"Fold_02",10,"radial",1,1,4,0.204166414243895
"SVM","Repeat_12_Fold_02",12,"Fold_02",11,"radial",10,1,4,0.214146001237543
"SVM","Repeat_12_Fold_02",12,"Fold_02",12,"radial",100,1,4,0.18061092909975
"SVM","Repeat_12_Fold_03",12,"Fold_03",1,"radial",0.1,0.01,4,0.176932009318198
"SVM","Repeat_12_Fold_03",12,"Fold_03",2,"radial",1,0.01,4,0.15099129336856
"SVM","Repeat_12_Fold_03",12,"Fold_03",3,"radial",10,0.01,4,0.165061615182132
"SVM","Repeat_12_Fold_03",12,"Fold_03",4,"radial",100,0.01,4,0.194543947762806
"SVM","Repeat_12_Fold_03",12,"Fold_03",5,"radial",0.1,0.1,4,0.167649469706009
"SVM","Repeat_12_Fold_03",12,"Fold_03",6,"radial",1,0.1,4,0.171863887257891
"SVM","Repeat_12_Fold_03",12,"Fold_03",7,"radial",10,0.1,4,0.195766421818031
"SVM","Repeat_12_Fold_03",12,"Fold_03",8,"radial",100,0.1,4,0.21810992178566
"SVM","Repeat_12_Fold_03",12,"Fold_03",9,"radial",0.1,1,4,0.169226517348068
"SVM","Repeat_12_Fold_03",12,"Fold_03",10,"radial",1,1,4,0.164627914940608
"SVM","Repeat_12_Fold_03",12,"Fold_03",11,"radial",10,1,4,0.166632270380623
"SVM","Repeat_12_Fold_03",12,"Fold_03",12,"radial",100,1,4,0.168675783579284
"SVM","Repeat_12_Fold_04",12,"Fold_04",1,"radial",0.1,0.01,4,0.171047014290764
"SVM","Repeat_12_Fold_04",12,"Fold_04",2,"radial",1,0.01,4,0.152149688930609
"SVM","Repeat_12_Fold_04",12,"Fold_04",3,"radial",10,0.01,4,0.158994958343056
"SVM","Repeat_12_Fold_04",12,"Fold_04",4,"radial",100,0.01,4,0.197158233580153
"SVM","Repeat_12_Fold_04",12,"Fold_04",5,"radial",0.1,0.1,4,0.158090284705398
"SVM","Repeat_12_Fold_04",12,"Fold_04",6,"radial",1,0.1,4,0.151277820088608
"SVM","Repeat_12_Fold_04",12,"Fold_04",7,"radial",10,0.1,4,0.164125439382025
"SVM","Repeat_12_Fold_04",12,"Fold_04",8,"radial",100,0.1,4,0.169889980621971
"SVM","Repeat_12_Fold_04",12,"Fold_04",9,"radial",0.1,1,4,0.287106476789507
"SVM","Repeat_12_Fold_04",12,"Fold_04",10,"radial",1,1,4,0.170183749185184
"SVM","Repeat_12_Fold_04",12,"Fold_04",11,"radial",10,1,4,0.162692416481656
"SVM","Repeat_12_Fold_04",12,"Fold_04",12,"radial",100,1,4,0.225770609316442
"SVM","Repeat_12_Fold_05",12,"Fold_05",1,"radial",0.1,0.01,4,0.168976888076807
"SVM","Repeat_12_Fold_05",12,"Fold_05",2,"radial",1,0.01,4,0.165712637500852
"SVM","Repeat_12_Fold_05",12,"Fold_05",3,"radial",10,0.01,4,0.164452309283336
"SVM","Repeat_12_Fold_05",12,"Fold_05",4,"radial",100,0.01,4,0.161156101089152
"SVM","Repeat_12_Fold_05",12,"Fold_05",5,"radial",0.1,0.1,4,0.169815416029458
"SVM","Repeat_12_Fold_05",12,"Fold_05",6,"radial",1,0.1,4,0.165282228222542
"SVM","Repeat_12_Fold_05",12,"Fold_05",7,"radial",10,0.1,4,0.181841789599995
"SVM","Repeat_12_Fold_05",12,"Fold_05",8,"radial",100,0.1,4,0.164364890472716
"SVM","Repeat_12_Fold_05",12,"Fold_05",9,"radial",0.1,1,4,0.169108563509924
"SVM","Repeat_12_Fold_05",12,"Fold_05",10,"radial",1,1,4,0.163568574364647
"SVM","Repeat_12_Fold_05",12,"Fold_05",11,"radial",10,1,4,0.170032264549879
"SVM","Repeat_12_Fold_05",12,"Fold_05",12,"radial",100,1,4,0.165341145951872
"SVM","Repeat_13_Fold_01",13,"Fold_01",1,"radial",0.1,0.01,4,0.177012816901496
"SVM","Repeat_13_Fold_01",13,"Fold_01",2,"radial",1,0.01,4,0.141912589806682
"SVM","Repeat_13_Fold_01",13,"Fold_01",3,"radial",10,0.01,4,0.162021773094544
"SVM","Repeat_13_Fold_01",13,"Fold_01",4,"radial",100,0.01,4,0.152164048616342
"SVM","Repeat_13_Fold_01",13,"Fold_01",5,"radial",0.1,0.1,4,0.176782187154873
"SVM","Repeat_13_Fold_01",13,"Fold_01",6,"radial",1,0.1,4,0.174643453616007
"SVM","Repeat_13_Fold_01",13,"Fold_01",7,"radial",10,0.1,4,0.178661086734915
"SVM","Repeat_13_Fold_01",13,"Fold_01",8,"radial",100,0.1,4,0.169589895484044
"SVM","Repeat_13_Fold_01",13,"Fold_01",9,"radial",0.1,1,4,0.208796262346599
"SVM","Repeat_13_Fold_01",13,"Fold_01",10,"radial",1,1,4,0.229346226953904
"SVM","Repeat_13_Fold_01",13,"Fold_01",11,"radial",10,1,4,0.260072699834957
"SVM","Repeat_13_Fold_01",13,"Fold_01",12,"radial",100,1,4,0.198195800879828
"SVM","Repeat_13_Fold_02",13,"Fold_02",1,"radial",0.1,0.01,4,0.182397070190953
"SVM","Repeat_13_Fold_02",13,"Fold_02",2,"radial",1,0.01,4,0.171856865833212
"SVM","Repeat_13_Fold_02",13,"Fold_02",3,"radial",10,0.01,4,0.144791855397816
"SVM","Repeat_13_Fold_02",13,"Fold_02",4,"radial",100,0.01,4,0.147848766268646
"SVM","Repeat_13_Fold_02",13,"Fold_02",5,"radial",0.1,0.1,4,0.157006807898242
"SVM","Repeat_13_Fold_02",13,"Fold_02",6,"radial",1,0.1,4,0.156515148207972
"SVM","Repeat_13_Fold_02",13,"Fold_02",7,"radial",10,0.1,4,0.191060142391625
"SVM","Repeat_13_Fold_02",13,"Fold_02",8,"radial",100,0.1,4,0.167420318305626
"SVM","Repeat_13_Fold_02",13,"Fold_02",9,"radial",0.1,1,4,0.265654369363269
"SVM","Repeat_13_Fold_02",13,"Fold_02",10,"radial",1,1,4,0.264574486583246
"SVM","Repeat_13_Fold_02",13,"Fold_02",11,"radial",10,1,4,0.218447994240389
"SVM","Repeat_13_Fold_02",13,"Fold_02",12,"radial",100,1,4,0.248510857272173
"SVM","Repeat_13_Fold_03",13,"Fold_03",1,"radial",0.1,0.01,4,0.176851880320202
"SVM","Repeat_13_Fold_03",13,"Fold_03",2,"radial",1,0.01,4,0.156195034354821
"SVM","Repeat_13_Fold_03",13,"Fold_03",3,"radial",10,0.01,4,0.156498703987472
"SVM","Repeat_13_Fold_03",13,"Fold_03",4,"radial",100,0.01,4,0.166919715620075
"SVM","Repeat_13_Fold_03",13,"Fold_03",5,"radial",0.1,0.1,4,0.162780964300779
"SVM","Repeat_13_Fold_03",13,"Fold_03",6,"radial",1,0.1,4,0.19364965153028
"SVM","Repeat_13_Fold_03",13,"Fold_03",7,"radial",10,0.1,4,0.194214843840118
"SVM","Repeat_13_Fold_03",13,"Fold_03",8,"radial",100,0.1,4,0.193632140630378
"SVM","Repeat_13_Fold_03",13,"Fold_03",9,"radial",0.1,1,4,0.166512988129565
"SVM","Repeat_13_Fold_03",13,"Fold_03",10,"radial",1,1,4,0.196628342903863
"SVM","Repeat_13_Fold_03",13,"Fold_03",11,"radial",10,1,4,0.18703225518928
"SVM","Repeat_13_Fold_03",13,"Fold_03",12,"radial",100,1,4,0.178863967563378
"SVM","Repeat_13_Fold_04",13,"Fold_04",1,"radial",0.1,0.01,4,0.183265576207826
"SVM","Repeat_13_Fold_04",13,"Fold_04",2,"radial",1,0.01,4,0.185160365355453
"SVM","Repeat_13_Fold_04",13,"Fold_04",3,"radial",10,0.01,4,0.181018567232675
"SVM","Repeat_13_Fold_04",13,"Fold_04",4,"radial",100,0.01,4,0.151077249253028
"SVM","Repeat_13_Fold_04",13,"Fold_04",5,"radial",0.1,0.1,4,0.155654544150807
"SVM","Repeat_13_Fold_04",13,"Fold_04",6,"radial",1,0.1,4,0.143764820571967
"SVM","Repeat_13_Fold_04",13,"Fold_04",7,"radial",10,0.1,4,0.106223457287554
"SVM","Repeat_13_Fold_04",13,"Fold_04",8,"radial",100,0.1,4,0.116807374943127
"SVM","Repeat_13_Fold_04",13,"Fold_04",9,"radial",0.1,1,4,0.243000260846239
"SVM","Repeat_13_Fold_04",13,"Fold_04",10,"radial",1,1,4,0.198847075461679
"SVM","Repeat_13_Fold_04",13,"Fold_04",11,"radial",10,1,4,0.133799496131602
"SVM","Repeat_13_Fold_04",13,"Fold_04",12,"radial",100,1,4,0.185623974200811
"SVM","Repeat_13_Fold_05",13,"Fold_05",1,"radial",0.1,0.01,4,0.17503815033448
"SVM","Repeat_13_Fold_05",13,"Fold_05",2,"radial",1,0.01,4,0.144714781269543
"SVM","Repeat_13_Fold_05",13,"Fold_05",3,"radial",10,0.01,4,0.156119316317094
"SVM","Repeat_13_Fold_05",13,"Fold_05",4,"radial",100,0.01,4,0.153997731981524
"SVM","Repeat_13_Fold_05",13,"Fold_05",5,"radial",0.1,0.1,4,0.166015784777557
"SVM","Repeat_13_Fold_05",13,"Fold_05",6,"radial",1,0.1,4,0.169327311957737
"SVM","Repeat_13_Fold_05",13,"Fold_05",7,"radial",10,0.1,4,0.18987110095477
"SVM","Repeat_13_Fold_05",13,"Fold_05",8,"radial",100,0.1,4,0.187458792526785
"SVM","Repeat_13_Fold_05",13,"Fold_05",9,"radial",0.1,1,4,0.167131061821509
"SVM","Repeat_13_Fold_05",13,"Fold_05",10,"radial",1,1,4,0.16881077868077
"SVM","Repeat_13_Fold_05",13,"Fold_05",11,"radial",10,1,4,0.172759743658983
"SVM","Repeat_13_Fold_05",13,"Fold_05",12,"radial",100,1,4,0.166932296998172
"SVM","Repeat_14_Fold_01",14,"Fold_01",1,"radial",0.1,0.01,4,0.18270307464996
"SVM","Repeat_14_Fold_01",14,"Fold_01",2,"radial",1,0.01,4,0.166744603576324
"SVM","Repeat_14_Fold_01",14,"Fold_01",3,"radial",10,0.01,4,0.172823640367668
"SVM","Repeat_14_Fold_01",14,"Fold_01",4,"radial",100,0.01,4,0.186340651013762
"SVM","Repeat_14_Fold_01",14,"Fold_01",5,"radial",0.1,0.1,4,0.193190680629115
"SVM","Repeat_14_Fold_01",14,"Fold_01",6,"radial",1,0.1,4,0.21079158351082
"SVM","Repeat_14_Fold_01",14,"Fold_01",7,"radial",10,0.1,4,0.238341460051861
"SVM","Repeat_14_Fold_01",14,"Fold_01",8,"radial",100,0.1,4,0.193598668193403
"SVM","Repeat_14_Fold_01",14,"Fold_01",9,"radial",0.1,1,4,0.235041819998605
"SVM","Repeat_14_Fold_01",14,"Fold_01",10,"radial",1,1,4,0.164152482537722
"SVM","Repeat_14_Fold_01",14,"Fold_01",11,"radial",10,1,4,0.163012669077188
"SVM","Repeat_14_Fold_01",14,"Fold_01",12,"radial",100,1,4,0.162193765746768
"SVM","Repeat_14_Fold_02",14,"Fold_02",1,"radial",0.1,0.01,4,0.180609707294586
"SVM","Repeat_14_Fold_02",14,"Fold_02",2,"radial",1,0.01,4,0.168298918411029
"SVM","Repeat_14_Fold_02",14,"Fold_02",3,"radial",10,0.01,4,0.147828933315758
"SVM","Repeat_14_Fold_02",14,"Fold_02",4,"radial",100,0.01,4,0.155471357502579
"SVM","Repeat_14_Fold_02",14,"Fold_02",5,"radial",0.1,0.1,4,0.167082822846636
"SVM","Repeat_14_Fold_02",14,"Fold_02",6,"radial",1,0.1,4,0.16909362836341
"SVM","Repeat_14_Fold_02",14,"Fold_02",7,"radial",10,0.1,4,0.162532478963816
"SVM","Repeat_14_Fold_02",14,"Fold_02",8,"radial",100,0.1,4,0.159529599381214
"SVM","Repeat_14_Fold_02",14,"Fold_02",9,"radial",0.1,1,4,0.246826970087227
"SVM","Repeat_14_Fold_02",14,"Fold_02",10,"radial",1,1,4,0.163988712506392
"SVM","Repeat_14_Fold_02",14,"Fold_02",11,"radial",10,1,4,0.182054286518315
"SVM","Repeat_14_Fold_02",14,"Fold_02",12,"radial",100,1,4,0.180002700682427
"SVM","Repeat_14_Fold_03",14,"Fold_03",1,"radial",0.1,0.01,4,0.175649843587221
"SVM","Repeat_14_Fold_03",14,"Fold_03",2,"radial",1,0.01,4,0.161628083478434
"SVM","Repeat_14_Fold_03",14,"Fold_03",3,"radial",10,0.01,4,0.163962917713816
"SVM","Repeat_14_Fold_03",14,"Fold_03",4,"radial",100,0.01,4,0.16586623461084
"SVM","Repeat_14_Fold_03",14,"Fold_03",5,"radial",0.1,0.1,4,0.17441267516061
"SVM","Repeat_14_Fold_03",14,"Fold_03",6,"radial",1,0.1,4,0.166999943187235
"SVM","Repeat_14_Fold_03",14,"Fold_03",7,"radial",10,0.1,4,0.182250331680397
"SVM","Repeat_14_Fold_03",14,"Fold_03",8,"radial",100,0.1,4,0.19554909078846
"SVM","Repeat_14_Fold_03",14,"Fold_03",9,"radial",0.1,1,4,0.168604120531807
"SVM","Repeat_14_Fold_03",14,"Fold_03",10,"radial",1,1,4,0.165823779247312
"SVM","Repeat_14_Fold_03",14,"Fold_03",11,"radial",10,1,4,0.1659380039533
"SVM","Repeat_14_Fold_03",14,"Fold_03",12,"radial",100,1,4,0.167975063319839
"SVM","Repeat_14_Fold_04",14,"Fold_04",1,"radial",0.1,0.01,4,0.165791564368224
"SVM","Repeat_14_Fold_04",14,"Fold_04",2,"radial",1,0.01,4,0.163975879615277
"SVM","Repeat_14_Fold_04",14,"Fold_04",3,"radial",10,0.01,4,0.168954081925663
"SVM","Repeat_14_Fold_04",14,"Fold_04",4,"radial",100,0.01,4,0.195847914807754
"SVM","Repeat_14_Fold_04",14,"Fold_04",5,"radial",0.1,0.1,4,0.169166483877285
"SVM","Repeat_14_Fold_04",14,"Fold_04",6,"radial",1,0.1,4,0.163406417134661
"SVM","Repeat_14_Fold_04",14,"Fold_04",7,"radial",10,0.1,4,0.15628783849993
"SVM","Repeat_14_Fold_04",14,"Fold_04",8,"radial",100,0.1,4,0.177650134220492
"SVM","Repeat_14_Fold_04",14,"Fold_04",9,"radial",0.1,1,4,0.212179628126638
"SVM","Repeat_14_Fold_04",14,"Fold_04",10,"radial",1,1,4,0.183255339403454
"SVM","Repeat_14_Fold_04",14,"Fold_04",11,"radial",10,1,4,0.167847034734705
"SVM","Repeat_14_Fold_04",14,"Fold_04",12,"radial",100,1,4,0.169906717881243
"SVM","Repeat_14_Fold_05",14,"Fold_05",1,"radial",0.1,0.01,4,0.191121219008818
"SVM","Repeat_14_Fold_05",14,"Fold_05",2,"radial",1,0.01,4,0.156659929384922
"SVM","Repeat_14_Fold_05",14,"Fold_05",3,"radial",10,0.01,4,0.163157210999452
"SVM","Repeat_14_Fold_05",14,"Fold_05",4,"radial",100,0.01,4,0.160455046407757
"SVM","Repeat_14_Fold_05",14,"Fold_05",5,"radial",0.1,0.1,4,0.175697053300832
"SVM","Repeat_14_Fold_05",14,"Fold_05",6,"radial",1,0.1,4,0.167079853990399
"SVM","Repeat_14_Fold_05",14,"Fold_05",7,"radial",10,0.1,4,0.164890458686576
"SVM","Repeat_14_Fold_05",14,"Fold_05",8,"radial",100,0.1,4,0.161176064943413
"SVM","Repeat_14_Fold_05",14,"Fold_05",9,"radial",0.1,1,4,0.167969989938494
"SVM","Repeat_14_Fold_05",14,"Fold_05",10,"radial",1,1,4,0.174876302716597
"SVM","Repeat_14_Fold_05",14,"Fold_05",11,"radial",10,1,4,0.166754370789352
"SVM","Repeat_14_Fold_05",14,"Fold_05",12,"radial",100,1,4,0.165829162272154
"SVM","Repeat_15_Fold_01",15,"Fold_01",1,"radial",0.1,0.01,4,0.180735950240637
"SVM","Repeat_15_Fold_01",15,"Fold_01",2,"radial",1,0.01,4,0.164267830500246
"SVM","Repeat_15_Fold_01",15,"Fold_01",3,"radial",10,0.01,4,0.188713874636601
"SVM","Repeat_15_Fold_01",15,"Fold_01",4,"radial",100,0.01,4,0.189593396016674
"SVM","Repeat_15_Fold_01",15,"Fold_01",5,"radial",0.1,0.1,4,0.177984554153224
"SVM","Repeat_15_Fold_01",15,"Fold_01",6,"radial",1,0.1,4,0.187047985793278
"SVM","Repeat_15_Fold_01",15,"Fold_01",7,"radial",10,0.1,4,0.18838172387896
"SVM","Repeat_15_Fold_01",15,"Fold_01",8,"radial",100,0.1,4,0.203172284900312
"SVM","Repeat_15_Fold_01",15,"Fold_01",9,"radial",0.1,1,4,0.213008970536324
"SVM","Repeat_15_Fold_01",15,"Fold_01",10,"radial",1,1,4,0.168829378144379
"SVM","Repeat_15_Fold_01",15,"Fold_01",11,"radial",10,1,4,0.168000895236933
