"CellID","X","Y","Pb_OK","Zn_OK","Cu_OK","Lithology","Dist_Fault","Dist_Silicified","Dist_Brecciated","Min_Dist_to_Occurrence_m","Background_Eligible"
7188,532688.5791,4417764.11,30.6857471466064,42.0525245666504,14.0402765274048,2,515.38818359375,482.830200195312,482.830200195312,562.003534736686,TRUE
7189,532713.5791,4417764.11,30.6031322479248,42.4235572814941,14.0498733520508,2,525.594909667969,492.442901611328,492.442901611328,580.43253531873,TRUE
7190,532738.5791,4417764.11,32.8630599975586,49.8155555725098,13.9575109481812,2,536.772766113281,503.115264892578,503.115264892578,599.337870534248,TRUE
7191,532763.5791,4417764.11,32.7909126281738,50.2512702941895,13.9621858596802,2,548.292846679688,514.781494140625,514.781494140625,618.67587479756,TRUE
7192,532788.5791,4417764.11,29.6433334350586,54.1416358947754,13.9506464004517,2,559.016967773438,527.375549316406,527.375549316406,638.407231362963,TRUE
7193,532813.5791,4417764.11,29.5730457305908,54.6014785766602,13.9520826339722,2,570.635620117188,540.832702636719,540.832702636719,658.496581658951,TRUE
7194,532838.5791,4417764.11,29.5140190124512,55.0288467407227,13.9527597427368,2,583.095153808594,555.090087890625,555.090087890625,678.91214678817,TRUE
7195,532863.5791,4417764.11,29.5612773895264,57.1745681762695,16.0168304443359,2,596.343017578125,570.087707519531,570.087707519531,699.625369791948,TRUE
7196,532888.5791,4417764.11,29.5233364105225,57.5397262573242,16.016975402832,2,610.327758789062,585.768737792969,585.768737792969,720.61058350299,TRUE
7197,532913.5791,4417764.11,29.8893356323242,57.5816383361816,15.9889907836914,2,625,602.079711914062,602.079711914062,741.844706159259,TRUE
7198,532938.5791,4417764.11,29.867696762085,57.8601760864258,15.9890060424805,2,640.312438964844,618.970947265625,618.970947265625,763.306965156559,TRUE
7199,532963.5791,4417764.11,29.8516521453857,58.1002006530762,15.9890108108521,2,656.22021484375,636.396118164062,636.396118164062,784.978648153257,TRUE
7200,532988.5791,4417764.11,29.8399925231934,58.3050422668457,15.9890117645264,2,672.681213378906,654.312622070312,654.312622070312,806.842880030873,TRUE
7201,531013.5791,4417739.11,35.0994987487793,87.8435592651367,25.6370124816895,3,275,755.810852050781,561.805114746094,1064.5285878062,TRUE
7202,531038.5791,4417739.11,35.1069450378418,87.8457183837891,25.6370105743408,3,276.134002685547,735.272094726562,540.832702636719,1040.46867769129,TRUE
7203,531063.5791,4417739.11,35.1166839599609,87.8528594970703,25.6370105743408,3,279.508483886719,715.017456054688,520.21630859375,1016.45414272198,TRUE
7204,531088.5791,4417739.11,35.1291885375977,87.865966796875,25.6370086669922,3,285.043853759766,695.071960449219,500,992.488276634373,TRUE
7205,531113.5791,4417739.11,35.1449012756348,87.8857040405273,25.6370029449463,3,292.617492675781,675.462829589844,480.234344482422,968.574692141327,TRUE
7206,531138.5791,4417739.11,36.2198600769043,85.6786193847656,25.3390483856201,3,301.039855957031,656.22021484375,460.977233886719,944.71735945555,TRUE
7207,531163.5791,4417739.11,35.6339149475098,81.9313583374023,22.9083633422852,3,304.138122558594,637.37744140625,442.295166015625,920.920650358468,TRUE
7208,531188.5791,4417739.11,35.6575660705566,82.0264129638672,22.9083480834961,3,309.232940673828,618.970947265625,424.264038085938,897.189388733874,TRUE
7209,531213.5791,4417739.11,36.6914138793945,78.9049377441406,22.5711116790771,3,316.227783203125,601.040771484375,406.970489501953,873.528908655382,TRUE
7210,531238.5791,4417739.11,36.3029861450195,81.3830642700195,22.7577018737793,3,325,583.630920410156,390.512481689453,849.945121320583,TRUE
7211,531263.5791,4417739.11,36.3127632141113,81.4544677734375,22.7572574615479,3,333.541595458984,565.685424804688,375,826.444592369422,TRUE
7212,531288.5791,4417739.11,36.3068237304688,81.4918365478516,22.7560844421387,3,340.036773681641,548.292846679688,360.555114746094,803.034631418009,TRUE
7213,531313.5791,4417739.11,36.0479621887207,77.3452301025391,20.9793949127197,3,348.209716796875,531.50732421875,347.311096191406,779.723395991589,TRUE
7214,531338.5791,4417739.11,35.990650177002,77.3007125854492,20.9762954711914,3,357.945526123047,515.38818359375,335.410186767578,756.520012462761,TRUE
7215,531363.5791,4417739.11,36.8102531433105,76.0502319335938,20.6412467956543,3,350.891723632812,500,325,733.434717106202,TRUE
7216,531388.5791,4417739.11,37.2714004516602,76.6392364501953,20.6537551879883,3,325.960113525391,485.412231445312,316.227783203125,710.479020982782,TRUE
7217,531413.5791,4417739.11,36.9819183349609,78.0107269287109,20.5058155059814,3,301.039855957031,471.699035644531,309.232940673828,687.665903078415,TRUE
7218,531438.5791,4417739.11,36.7759742736816,77.3845596313477,20.507719039917,3,276.134002685547,458.93896484375,304.138122558594,665.01003695933,TRUE
7219,531463.5791,4417739.11,35.7347259521484,75.7987518310547,19.6591300964355,3,251.246887207031,447.213592529297,301.039855957031,642.528057174664,TRUE
7220,531488.5791,4417739.11,35.5813827514648,74.8836288452148,19.6613712310791,3,226.384643554688,436.606201171875,300,620.238872739082,TRUE
7221,531513.5791,4417739.11,38.3387298583984,74.9567947387695,19.909839630127,3,201.556442260742,427.200164794922,300,598.16403624478,TRUE
7222,531538.5791,4417739.11,39.3244743347168,73.9322509765625,19.8313617706299,3,176.776702880859,419.076354980469,300,576.328178433646,TRUE
7223,531563.5791,4417739.11,33.3981399536133,69.9968185424805,18.2895641326904,3,152.069061279297,412.310546875,301.039855957031,554.759519302412,TRUE
7224,531588.5791,4417739.11,33.666015625,68.1130523681641,17.8167324066162,3,127.475486755371,406.970489501953,291.547576904297,533.490467821724,TRUE
7225,531613.5791,4417739.11,33.7173919677734,63.6140975952148,15.7846794128418,3,103.07763671875,403.112884521484,269.258239746094,512.558322785457,TRUE
7226,531638.5791,4417739.11,34.0627975463867,61.1254119873047,15.0358324050903,3,79.0569458007812,400.780487060547,246.221450805664,492.006086605277,TRUE
7227,531663.5791,4417739.11,34.7915267944336,57.3649139404297,14.1322984695435,3,55.9016990661621,400,223.606796264648,471.883401124301,TRUE
7228,531688.5791,4417739.11,35.2878684997559,53.7130584716797,13.7236022949219,3,35.355339050293,400.780487060547,201.556442260742,452.247608348167,TRUE
7229,531713.5791,4417739.11,35.5296516418457,49.4773216247559,13.2424488067627,3,25,403.112884521484,180.277557373047,433.164927315954,TRUE
7230,531738.5791,4417739.11,33.3349723815918,50.5427703857422,13.1482667922974,3,35.355339050293,395.284698486328,160.078109741211,414.711718253336,TRUE
7231,531763.5791,4417739.11,30.3767490386963,54.0851516723633,13.4125385284424,3,50,375,141.421356201172,396.975772883728,TRUE
7232,531788.5791,4417739.11,30.8667793273926,56.0883331298828,14.0270357131958,3,55.9016990661621,355.316772460938,125,380.057520984168,TRUE
7233,531813.5791,4417739.11,32.6837921142578,58.6026268005371,14.5593843460083,3,70.7106781005859,336.340606689453,111.803398132324,364.070974202325,TRUE
7234,531838.5791,4417739.11,35.6611022949219,60.798885345459,15.1529932022095,3,79.0569458007812,318.198059082031,103.07763671875,349.144138224643,TRUE
7235,531863.5791,4417739.11,39.1202964782715,62.4344673156738,15.6108274459839,3,90.1387786865234,301.039855957031,100,335.41852103995,TRUE
7236,531888.5791,4417739.11,42.4590950012207,63.6789627075195,15.6617307662964,3,103.07763671875,285.043853759766,103.07763671875,323.047270932021,TRUE
7237,531913.5791,4417739.11,44.4265670776367,65.3394317626953,15.1813774108887,3,111.803398132324,270.416351318359,111.803398132324,312.191438474256,TRUE
7238,531938.5791,4417739.11,45.3347702026367,57.2994956970215,14.1704702377319,3,125,257.390747070312,125,303.013942346922,TRUE
7239,531963.5791,4417739.11,45.526123046875,36.8006324768066,12.75807762146,3,134.629119873047,246.221450805664,141.421356201172,295.671108254801,TRUE
7240,531988.5791,4417739.11,44.7919044494629,25.6942043304443,11.3386888504028,3,145.773788452148,237.170822143555,160.078109741211,290.302186103758,TRUE
7241,532013.5791,4417739.11,42.6042556762695,21.6301727294922,10.3104648590088,3,158.113891601562,230.488616943359,180.277557373047,287.0179685257,TRUE
7242,532038.5791,4417739.11,39.4096641540527,22.3516960144043,9.97504997253418,3,167.705093383789,226.384643554688,201.556442260742,285.890309833367,TRUE
7243,532063.5791,4417739.11,37.4731826782227,27.6670703887939,10.4081058502197,2,180.277557373047,225,223.606796264648,286.944636222072,TRUE
7244,532088.5791,4417739.11,38.5911674499512,36.8142890930176,11.5380535125732,2,195.256240844727,226.384643554688,246.221450805664,290.157163028273,TRUE
7245,532113.5791,4417739.11,39.3392677307129,39.3201332092285,12.7553796768188,2,212.132019042969,230.488616943359,269.258239746094,295.457499916002,TRUE
7246,532138.5791,4417739.11,39.497444152832,38.73876953125,14.0107498168945,2,223.606796264648,237.170822143555,292.617492675781,302.736005880723,TRUE
7247,532163.5791,4417739.11,39.146297454834,39.5421829223633,15.8357763290405,2,235.849517822266,246.221450805664,316.227783203125,311.854203525641,TRUE
7248,532188.5791,4417739.11,37.3413124084473,37.1044120788574,16.1798229217529,2,246.221450805664,257.390747070312,340.036773681641,322.656162588924,TRUE
7249,532213.5791,4417739.11,37.4289703369141,37.9515991210938,16.1524085998535,2,257.390747070312,270.416351318359,364.005493164062,334.979035547912,TRUE
7250,532238.5791,4417739.11,35.7147750854492,35.9632606506348,15.8816328048706,2,269.258239746094,285.043853759766,388.104370117188,348.661597048783,TRUE
7251,532263.5791,4417739.11,35.4588394165039,35.5441017150879,15.2424364089966,2,279.508483886719,301.039855957031,412.310546875,363.550360000656,TRUE
7252,532288.5791,4417739.11,33.7739791870117,37.3580894470215,16.0791606903076,2,291.547576904297,318.198059082031,436.606201171875,379.503385039719,TRUE
7253,532313.5791,4417739.11,32.8318214416504,35.0430870056152,15.7054672241211,2,302.076141357422,336.340606689453,450,396.392197522358,TRUE
7254,532338.5791,4417739.11,34.1168479919434,32.2426948547363,14.5535554885864,2,313.249114990234,353.553405761719,450,414.102317376518,TRUE
7255,532363.5791,4417739.11,34.2598762512207,35.9604988098145,12.8623952865601,2,325,371.651733398438,450,419.304254756054,TRUE
7256,532388.5791,4417739.11,32.6535263061523,35.7242660522461,12.8327779769897,2,335.410186767578,390.512481689453,450.693908691406,424.994132967184,TRUE
7257,532413.5791,4417739.11,32.5799827575684,36.0655174255371,13.0645265579224,2,347.311096191406,410.030517578125,452.769287109375,432.057829528094,TRUE
7258,532438.5791,4417739.11,31.7409591674805,39.7073974609375,13.6464910507202,2,357.945526123047,430.116271972656,456.207183837891,440.429248638787,TRUE
7259,532463.5791,4417739.11,32.4107437133789,40.4882278442383,13.9477081298828,2,369.120574951172,450.693908691406,460.977233886719,450.035418668936,TRUE
7260,532488.5791,4417739.11,32.7987365722656,41.8693313598633,14.4600524902344,2,381.608428955078,456.207183837891,467.038543701172,460.799124409458,TRUE
7261,532513.5791,4417739.11,32.9673118591309,38.7906303405762,14.2331600189209,2,395.284698486328,460.977233886719,474.341644287109,472.6412889883,TRUE
7262,532538.5791,4417739.11,30.9788799285889,37.4971656799316,14.0045986175537,2,410.030517578125,467.038543701172,475.657470703125,485.482999760569,TRUE
7263,532563.5791,4417739.11,32.2869606018066,41.6401786804199,14.8147764205933,2,425,474.341644287109,477.624328613281,499.247131245158,TRUE
7264,532588.5791,4417739.11,32.777271270752,39.6593475341797,14.3735084533691,2,437.321380615234,480.884613037109,480.884613037109,513.859565500651,TRUE
7265,532613.5791,4417739.11,32.8378257751465,39.3512916564941,14.5712213516235,2,450.693908691406,485.412231445312,485.412231445312,529.250043038748,TRUE
7266,532638.5791,4417739.11,31.719934463501,42.1349563598633,13.9809484481812,2,465.026916503906,491.172088623047,491.172088623047,545.352696020214,TRUE
7267,532663.5791,4417739.11,30.6953678131104,43.0632781982422,14.2496156692505,2,480.234344482422,498.121459960938,498.121459960938,562.106322733088,TRUE
7268,532688.5791,4417739.11,30.7343559265137,43.7106513977051,14.4141597747803,2,492.442901611328,506.21142578125,506.21142578125,579.454461589962,TRUE
7269,532713.5791,4417739.11,30.450475692749,42.9710845947266,14.0605821609497,2,503.115264892578,515.38818359375,515.38818359375,597.3453172634,TRUE
7270,532738.5791,4417739.11,30.3931007385254,43.2749099731445,14.0633392333984,2,514.781494140625,525.594909667969,525.594909667969,615.731583611325,TRUE
7271,532763.5791,4417739.11,32.7102432250977,50.8049240112305,13.9654769897461,2,525.594909667969,536.772766113281,536.772766113281,634.570199470877,TRUE
