"CellID","X","Y","Occurrence","Is_Occurrence_Cell","Min_Dist_to_Occurrence_m","Inside_50m_Buffer","Background_Eligible"
114,531838.5791,4419964.11,,FALSE,1418.4927596071,FALSE,TRUE
115,531863.5791,4419964.11,,FALSE,1416.74827123867,FALSE,TRUE
116,531888.5791,4419964.11,,FALSE,1415.44325886196,FALSE,TRUE
117,531913.5791,4419964.11,,FALSE,1414.57893878629,FALSE,TRUE
118,531938.5791,4419964.11,,FALSE,1414.15611905396,FALSE,TRUE
119,531963.5791,4419964.11,,FALSE,1414.17519567335,FALSE,TRUE
120,531988.5791,4419964.11,,FALSE,1414.63615076731,FALSE,TRUE
121,532013.5791,4419964.11,,FALSE,1415.53855265682,FALSE,TRUE
122,532038.5791,4419964.11,,FALSE,1416.88155787905,FALSE,TRUE
123,532063.5791,4419964.11,,FALSE,1418.66391511794,FALSE,TRUE
124,532088.5791,4419964.11,,FALSE,1420.88397100458,FALSE,TRUE
125,532113.5791,4419964.11,,FALSE,1423.53967772512,FALSE,TRUE
126,532138.5791,4419964.11,,FALSE,1426.62860235513,FALSE,TRUE
127,532163.5791,4419964.11,,FALSE,1430.14793782243,FALSE,TRUE
128,532188.5791,4419964.11,,FALSE,1434.09451538514,FALSE,TRUE
129,532213.5791,4419964.11,,FALSE,1438.46481849844,FALSE,TRUE
130,532238.5791,4419964.11,,FALSE,1443.25499793271,FALSE,TRUE
131,532263.5791,4419964.11,,FALSE,1448.46088799724,FALSE,TRUE
132,532288.5791,4419964.11,,FALSE,1454.07802371735,FALSE,TRUE
133,532313.5791,4419964.11,,FALSE,1460.10165880932,FALSE,TRUE
134,532338.5791,4419964.11,,FALSE,1466.52678429606,FALSE,TRUE
135,532363.5791,4419964.11,,FALSE,1473.34814760726,FALSE,TRUE
136,532388.5791,4419964.11,,FALSE,1480.56027201115,FALSE,TRUE
137,532413.5791,4419964.11,,FALSE,1488.15747622949,FALSE,TRUE
138,532438.5791,4419964.11,,FALSE,1496.13389409429,FALSE,TRUE
139,532463.5791,4419964.11,,FALSE,1504.48349411276,FALSE,TRUE
140,532488.5791,4419964.11,,FALSE,1513.20009881632,FALSE,TRUE
141,532513.5791,4419964.11,,FALSE,1522.27740377952,FALSE,TRUE
142,532538.5791,4419964.11,,FALSE,1531.70899620578,FALSE,TRUE
143,532563.5791,4419964.11,,FALSE,1541.48837298817,FALSE,TRUE
144,532588.5791,4419964.11,,FALSE,1551.60895816495,FALSE,TRUE
145,532613.5791,4419964.11,,FALSE,1562.06411970115,FALSE,TRUE
146,532638.5791,4419964.11,,FALSE,1572.84718553893,FALSE,TRUE
147,532663.5791,4419964.11,,FALSE,1583.95145887042,FALSE,TRUE
148,532688.5791,4419964.11,,FALSE,1595.37023259735,FALSE,TRUE
149,532713.5791,4419964.11,,FALSE,1607.09680295174,FALSE,TRUE
150,532738.5791,4419964.11,,FALSE,1619.12448226124,FALSE,TRUE
151,532763.5791,4419964.11,,FALSE,1631.44661085115,FALSE,TRUE
152,532788.5791,4419964.11,,FALSE,1644.05656808326,FALSE,TRUE
153,532813.5791,4419964.11,,FALSE,1656.94778253804,FALSE,TRUE
154,532838.5791,4419964.11,,FALSE,1670.11374135348,FALSE,TRUE
155,532863.5791,4419964.11,,FALSE,1683.54799873889,FALSE,TRUE
156,532888.5791,4419964.11,,FALSE,1697.24418368652,FALSE,TRUE
157,532913.5791,4419964.11,,FALSE,1711.19600690795,FALSE,TRUE
158,532938.5791,4419964.11,,FALSE,1725.39726702511,FALSE,TRUE
159,532963.5791,4419964.11,,FALSE,1739.84185604833,FALSE,TRUE
160,532988.5791,4419964.11,,FALSE,1754.52376417582,FALSE,TRUE
161,531013.5791,4419939.11,,FALSE,1675.2643654235,FALSE,TRUE
162,531038.5791,4419939.11,,FALSE,1661.4194681229,FALSE,TRUE
163,531063.5791,4419939.11,,FALSE,1647.83755390445,FALSE,TRUE
164,531088.5791,4419939.11,,FALSE,1634.52517847165,FALSE,TRUE
165,531113.5791,4419939.11,,FALSE,1621.48898055392,FALSE,TRUE
166,531138.5791,4419939.11,,FALSE,1608.73567408005,FALSE,TRUE
167,531163.5791,4419939.11,,FALSE,1596.27203949007,FALSE,TRUE
168,531188.5791,4419939.11,,FALSE,1584.10491415745,FALSE,TRUE
169,531213.5791,4419939.11,,FALSE,1572.24118189856,FALSE,TRUE
170,531238.5791,4419939.11,,FALSE,1560.68776155187,FALSE,TRUE
171,531263.5791,4419939.11,,FALSE,1549.45159461591,FALSE,TRUE
172,531288.5791,4419939.11,,FALSE,1538.5396319425,FALSE,TRUE
173,531313.5791,4419939.11,,FALSE,1527.95881949016,FALSE,TRUE
174,531338.5791,4419939.11,,FALSE,1517.71608315184,FALSE,TRUE
175,531363.5791,4419939.11,,FALSE,1507.81831268153,FALSE,TRUE
176,531388.5791,4419939.11,,FALSE,1498.27234475504,FALSE,TRUE
177,531413.5791,4419939.11,,FALSE,1489.08494521225,FALSE,TRUE
178,531438.5791,4419939.11,,FALSE,1480.26279054017,FALSE,TRUE
179,531463.5791,4419939.11,,FALSE,1471.81244866925,FALSE,TRUE
180,531488.5791,4419939.11,,FALSE,1463.74035916817,FALSE,TRUE
181,531513.5791,4419939.11,,FALSE,1456.05281293563,FALSE,TRUE
182,531538.5791,4419939.11,,FALSE,1448.75593150046,FALSE,TRUE
183,531563.5791,4419939.11,,FALSE,1441.85564605399,FALSE,TRUE
184,531588.5791,4419939.11,,FALSE,1435.35767635031,FALSE,TRUE
185,531613.5791,4419939.11,,FALSE,1429.26750962084,FALSE,TRUE
186,531638.5791,4419939.11,,FALSE,1423.59037965904,FALSE,TRUE
187,531663.5791,4419939.11,,FALSE,1418.33124623896,FALSE,TRUE
